conv:people_2019081901_108:aug_0:chat_0:chataug_0| gregory malcolm| [person:gregory m 0-0][person:malcolm m 1-1]
malcolm| Hey Gregory Me and my neighbors Eduardo and Johnny will be going to watch a movie in your area so which theater do you suggest| [person:gregory m 1-1][person:malcolm m 2-2][person:malcolm m 4-4][person:neighbors g() 5-5][person:eduardo m 6-6][person:johnny m 8-8][person:gregory m 17-17]
gregory| Hey Malcolm Nice plans you got there There are some which I can suggest| [person:malcolm m 1-1][person:malcolm m 4-4][person:gregory m 11-11]
malcolm| Why don t you also join us so we will know for sure you will be suggesting the best theaters| [person:gregory m 3-3][person:us g(malcolm:gregory:eduardo:johnny) 6-6][person:we g(malcolm:gregory:eduardo:johnny) 8-8][person:gregory m 13-13]
gregory| Yes I would be glad to join you guys| [person:gregory m 1-1][person:malcolm m 7-7]
malcolm| Then which theaters do you suggest| [location:theaters g() 2-2][person:gregory m 4-4]
gregory| Well it can be the theater on 5th street the IMAX on Cross boulevard or the Cineplex at the mall| [location:imax s 1-1][location:theater s 5-5][location:street s 8-8][location:imax s 10-10][location:cross_boulevard s 12-13][location:cineplex s 16-16][location:mall s 19-19]
malcolm| I think IMAX would be the best choice| [person:malcolm m 0-0][location:imax s 2-2]
gregory| It sure is the best choice even though the tickets cost more| [location:imax s 0-0]
malcolm| Well it doesn t matter since we want to enjoy our time| [person:we g(malcolm:gregory:eduardo:johnny) 6-6][person:our g(malcolm:gregory:eduardo:johnny) 10-10]
gregory| You are right| [person:malcolm m 0-0]
malcolm| See you at the theater then| [person:gregory m 1-1][location:imax s 4-4]
gregory| Yes we will be meeting soon it will be fun| [person:we g(malcolm:gregory:eduardo:johnny) 1-1]

conv:people_2019081901_114:aug_0:chat_0:chataug_0| nicholas walt| [person:nicholas m 0-0][person:walt m 1-1]
nicholas| I m really looking forward to the game today| [person:nicholas m 0-0]
walt| Me too Benjamin and Wayne are going to hook up with us too don t forget| [person:walt m 0-0][person:benjamin m 2-2][person:wayne m 4-4][person:us g(nicholas:walt) 11-11]
nicholas| Right I know Did they have any thoughts on where we should go to watch it| [person:nicholas m 1-1][person:they g(benjamin:wayne) 4-4][person:we g(nicholas:walt) 10-10]
walt| They suggested a couple of places but I didn t think their ideas were great| [person:they g(benjamin:wayne) 0-0][location:places g() 5-5][person:walt m 7-7][person:they g(benjamin:wayne) 11-11]
nicholas| Well I don t really care where we go as long as they have good things to eat| [person:nicholas m 1-1][person:we g(nicholas:walt) 7-7][person:they g(benjamin:wayne) 12-12]
walt| Agreed I don t really care either I just don t want to go any place too far away| [person:walt m 1-1][person:walt m 7-7][location:place s 15-15]
