conv:chats_1126_306:aug_0:chat_0:chataug_0| philip sandy| [person:philip m 0-0][person:sandy f 1-1]
sandy| Hi Philip I am buying dinner for the night what do you guys like to have| [person:philip m 1-1][person:sandy f 2-2][person:philip m 11-11]
philip| I want a chicken pizza with extra cheese| [person:philip m 0-0]
sandy| Ask Josh and Suzy too| [person:josh m 1-1][person:suzy f 3-3]
philip| Josh wants to have Chinese food| [person:josh m 0-0]
sandy| I need specifics Also what about Suzy| [person:sandy f 0-0][person:suzy f 6-6]
philip| Josh wants chicken soup and Suzy wants pizza too| [person:josh m 0-0][person:suzy f 5-5]
sandy| What kind of pizza does Suzy want| [person:suzy f 5-5]
philip| She wants a pepperoni pizza| [person:suzy f 0-0]
sandy| Alright I ll be there with the food in 30 minutes| [person:sandy f 1-1][location:there u 4-4]
philip| Okay we ll be waiting for you and the food| [person:philip__josh_and_suzy g(philip:josh:suzy) 1-1][person:sandy f 6-6]

conv:chats_1126_307:aug_0:chat_0:chataug_0| charles maddison| [person:charles m 0-0][person:maddison f 1-1]
maddison| Hey Charles Are you free now I want to discuss with you about our house| [person:charles m 1-1][person:charles m 3-3][person:maddison f 6-6][person:charles m 11-11][person:our g(maddison:charles) 13-13][location:house s 14-14]
charles| Hey Madison I will complete my work within 10 minutes and then we will discuss| [person:maddison f 1-1][person:charles m 2-2][person:charles m 5-5][person:our g(maddison:charles) 12-12]
maddison| Okay I had contacted to officer James and his wife Pamela to sell our house| [person:maddison f 1-1][person:james m 6-6][person:james m 8-8][person:pamela f 9-9][person:pamela f 10-10][person:our g(maddison:charles) 13-13][location:house s 14-14]
charles| Is it What they said We have to be prepared to answer for their questions| [person:they g(james:pamela) 3-3][person:our g(maddison:charles) 5-5][person:they g(james:pamela) 13-13]
maddison| Yes They were asking me about the size of the house So tell me the size| [person:they g(james:pamela) 1-1][person:maddison f 4-4][person:maddison f 13-13]
charles| The size of the hall is 1618 and master bed room is 1014|
maddison| Okay What about the Kitchen size and portico size| [location:kitchen s 4-4]
charles| The size of the kitchen is 810 and the portico size is 1216| [location:kitchen s 4-4]
