conv:chats_1126_86:aug_0:chat_0:chataug_0| mark rusell| [person:mark m 0-0][person:rusell m 1-1]
mark| Hey Russel I have got a great news to tell you| [person:mark m 2-2][person:rusell m 10-10]
rusell| What is it Mark What happened| [person:mark m 3-3]
mark| You won t believe me that I won the Texas Lotto| [person:rusell m 0-0][person:mark m 4-4][person:mark m 6-6][location:texas s 9-9]
rusell| Wow that s a great news Mark| [person:mark m 6-6]
mark| Yeah I will tell this to my family but not to Luke and June| [person:mark m 1-1][person:mark m 6-6][person:family g() 7-7][person:luke m 11-11]
rusell| What Why don t you want to share it with them I thought you like them as you all hang out very often| [person:mark m 4-4][person:family g() 10-10][person:rusell m 11-11][person:mark m 13-13][person:them g(luke) 15-15][person:family g() 17-17]
mark| They are good to hangout with but June would always borrow money form others| [person:family g() 0-0][person:others g() 13-13]
rusell| Okay fair enough but what s the matter with Luke| [person:luke m 9-9]
mark| Luke would want to go out to dinner and always forget his wallet And that s the reason that I don t want to tell them| [person:luke m 0-0][location:dinner s 7-7][person:luke m 11-11][person:mark m 19-19][person:them g(luke) 25-25]
rusell| That s funny anyway congratulations on the win|

conv:chats_1126_88:aug_0:chat_0:chataug_0| andrea mark| [person:andrea f 0-0][person:mark m 1-1]
mark| Hey Andrea I think using china for all the guests is too expensive| [person:andrea f 1-1][person:mark m 2-2][location:china s 5-5]
andrea| What other choice do we have| [person:andrea___mark g(mark:andrea) 4-4]
mark| Why don t you look for a lower price| [person:andrea f 3-3]
andrea| I ll ask Maya to shop around for a discount on china| [person:andrea f 0-0][person:maya f 3-3][location:china s 11-11]
mark| Alright that will be better|
andrea| What about the menu for the reception|
mark| We need to discuss that with Maya| [person:andrea___mark g(mark:andrea) 0-0][person:maya f 6-6]
andrea| Alright is there anything else|
mark| No I think that is all| [person:mark m 1-1]
andrea| Great see you tomorrow at my place| [person:mark m 2-2][person:andrea f 5-5][location:place s 6-6]

conv:chats_1126_89:aug_0:chat_0:chataug_0| tammy tony| [person:tammy f 0-0][person:tony m 1-1]
tony| Hi Tammy Are you done with your work I need a favor from you| [person:tammy f 1-1][person:tammy f 3-3][person:tammy f 6-6][person:tony m 8-8][person:tammy f 13-13]
tammy| No It will take time What is it all about|
tony| I would like to give a shower to our cat Unfortunately there is no shampoo Can you get it on your way back| [person:tony m 0-0][person:our g(tony:tammy) 8-8][person:tammy f 16-16][person:tammy f 20-20]
tammy| Actually I am going to meet my friend Ben and it will be very late after that Will that be okay for you| [person:tammy f 1-1][person:tammy f 6-6][person:friend u 7-7][person:friend m 8-8][person:tony m 22-22]
tony| Just ignore it I need it for now Nothing to worry I can manage this situation| [person:tony m 3-3][person:tony m 11-11]
tammy| Fine Just now I thought about my roommate Val She is supposed to go to the store today Can you contact her| [person:tammy f 3-3][person:tammy f 6-6][person:val f 8-8][person:val f 9-9][location:store s 16-16][person:tony m 19-19][person:val f 21-21]
tony| I don t have her number Can you send me She won t mistake me right| [person:tony m 0-0][person:val f 4-4][person:tammy f 7-7][person:tony m 9-9][person:val f 10-10][person:tony m 14-14]
tammy| She is a great pet lover So nothing to worry about that I will send her number now| [person:val f 0-0][person:tammy f 12-12][person:val f 15-15]
tony| Sounds great I ll speak to her and I ll get back to you| [person:tony m 2-2][person:val f 6-6][person:tony m 8-8][person:tammy f 13-13]
tammy| Alright I will be there before dinner See you soon| [person:tammy f 1-1][person:tony m 8-8]

conv:chats_1126_90:aug_0:chat_0:chataug_0| drew pablo| [person:drew m 0-0][person:pablo m 1-1]
pablo| Hey Drew I have an issue Would you like to spend sometime and listen to it| [person:drew m 1-1][person:pablo m 2-2][person:drew m 7-7]
drew| What s wrong with you Pablo Why will you only have problems every time when the others are doing fine| [person:pablo m 4-4][person:pablo m 5-5][person:pablo m 8-8][person:others g() 16-16]
pablo| It s not just about me Our cubicle bay itself finds Sally very much disturbing I am getting irritated with her loud voice and find it very difficult to focus on my work| [person:pablo m 5-5][person:our g(pablo:drew) 6-6][person:sally f 11-11][person:pablo m 15-15][person:sally f 20-20][person:pablo m 31-31]
drew| You know she gets hyper for what so ever she listens And she has a strong voice too So you can t do much about it| [person:pablo m 0-0][person:sally f 2-2][person:sally f 9-9][person:sally f 12-12][person:pablo m 19-19]
pablo| I am planing to report this to our team leader I am left with no other choice| [person:pablo m 0-0][person:our g(pablo:drew) 7-7][person:team g(pablo:drew:sally) 8-8][person:pablo m 10-10]
drew| Please don t do that She is the only source for their family s income Try telling the same to Sally that will work out| [person:sally f 5-5][person:their g(sally) 11-11][person:family g(sally) 12-12][person:sally f 20-20]
pablo| I have told her in all ways She is either ignoring it or she is just taking it as a fun| [person:pablo m 0-0][person:sally f 3-3][person:sally f 7-7][person:sally f 13-13]
drew| But mailing to team leader is not the right choice He barely responds and you know that as well It wouldn t help you| [person:team g(pablo:drew:sally) 3-3][person:pablo m 10-10][person:pablo m 14-14][person:pablo m 23-23]
pablo| I have posted a mail regarding this to our team leader I did this because there are lots of other people who also has to change their behaviors May this become a moral to everyone| [person:pablo m 0-0][person:our g(pablo:drew) 8-8][person:team g(pablo:drew:sally) 9-9][person:pablo m 11-11][person:their g(sally) 26-26][person:everyone g(pablo:drew:sally) 34-34]
drew| You re so sick I should be very careful with you| [person:pablo m 0-0][person:drew m 4-4][person:pablo m 10-10]

conv:chats_1126_93:aug_0:chat_0:chataug_0| barry ben| [person:barry m 0-0][person:ben m 1-1]
ben| Barry I was thinking we should take Donald and Joyce to the lake this Sunday| [person:barry m 0-0][person:ben m 1-1][person:we g(ben:barry) 4-4][person:donald m 7-7][person:joyce f 9-9][location:lake s 12-12]
barry| Are we going for just a picnic What are you trying to do exactly| [person:we g(ben:barry) 1-1][person:ben m 9-9]
ben| I d like to go for a picnic and also spend some time swimming and fishing I haven t done these in a long time| [person:ben m 0-0][location:picnic s 7-7][person:ben m 16-16]
barry| That s great The kids would be very happy to hear this They were expecting something like this| [person:kids g(donald:joyce) 4-4][person:kids g() 12-12]
ben| I m sure they ll have a great time We should buy Donald swim trunks before that| [person:ben m 0-0][person:kids g() 3-3][person:we g(ben:barry) 9-9][person:donald m 12-12]
barry| Good I was thinking about teaching swimming to Donald Joyce has a great interest in fishing I should teach him all techniques in that| [person:barry m 1-1][person:donald m 8-8][person:joyce f 9-9][person:barry m 16-16][person:donald m 19-19]
ben| Yes It will be Donald s first day of swimming He ll definitely enjoy it And Joyce was telling me the other day that he wants to learn fishing well| [person:donald m 4-4][person:donald m 10-10][person:joyce f 16-16][person:ben m 19-19][person:donald m 24-24]
barry| Well its time for them Don t discuss with them We will make it as a surprise| [person:kids g(donald:joyce) 4-4][person:kids g(donald:joyce) 9-9][person:we g(ben:barry) 10-10]
ben| Sure I m really looking forward to this Sunday| [person:ben m 1-1]
barry| Just make sure you get everything accordingly We will rock this weekend| [person:ben m 3-3][person:we g(ben:barry) 7-7]

conv:chats_1126_94:aug_0:chat_0:chataug_0| beverley robert| [person:beverley f 0-0][person:robert m 1-1]
beverley| Hi Robert I m buying dinner for the night What would you guys like to have| [person:robert m 1-1][person:beverley f 2-2][person:robert m 11-11]
robert| I want a chicken pizza with extra cheese| [person:robert m 0-0]
beverley| Ask Dylan and Teresa also about what they d like to eat| [person:dylan m 1-1][person:teresa f 3-3][person:they g(dylan:teresa) 7-7]
robert| Dylan wants to have Chinese food| [person:dylan m 0-0]
beverley| Give me specifics Also didn t you ask Teresa what she wants| [person:beverley f 1-1][person:robert m 6-6][person:teresa f 8-8][person:teresa f 10-10]
robert| Dylan wants chicken soup and Teresa wants pizza too| [person:dylan m 0-0][person:teresa f 5-5]
beverley| What toppings does Teresa want| [person:teresa f 3-3]
robert| She wants a pepperoni pizza| [person:teresa f 0-0]
beverley| Alright I ll be there with the food in half an hour| [person:beverley f 1-1][location:there s 4-4]
robert| We are waiting for you and the food| [person:we g(robert:dylan:teresa) 0-0][person:beverley f 4-4]

conv:chats_1126_96:aug_0:chat_0:chataug_0| ruth sharon| [person:ruth f 0-0][person:sharon f 1-1]
sharon| Hey Ruth Are you free today| [person:ruth f 1-1][person:ruth f 3-3]
ruth| Hi Sharon How are you doing I have nothing much to do today Tell me| [person:sharon f 1-1][person:sharon f 4-4][person:ruth f 6-6][person:ruth f 14-14]
sharon| That s great Me and Wanda are going to the pool And we want to play a game there but we need one more player Can you accompany Us| [person:sharon f 3-3][person:wanda f 5-5][person:we g(sharon:wanda) 12-12][person:we g(sharon:wanda) 20-20][person:ruth f 26-26][person:we g(sharon:wanda) 28-28]
ruth| Thanks for asking I don t think I can make it I have some work and moreover I don t like pool games that much| [person:ruth f 3-3][person:ruth f 7-7][person:ruth f 11-11][person:ruth f 17-17]
sharon| It will be more fun if you come there And you are my best buddy please come with Us as we have already paid for the game| [person:ruth f 6-6][person:ruth f 10-10][person:sharon f 12-12][person:ruth f 14-14][person:we g(sharon:wanda) 18-18][person:we g(sharon:wanda) 20-20]
ruth| Still I would like to skip that I Have some important work to complete Sorry| [person:ruth f 1-1][person:ruth f 7-7]
sharon| Don t you think we had fun last time Please think of it once more| [person:ruth f 2-2][person:we g(sharon:wanda) 4-4]
ruth| Okay fine I will come I will ask Ann to come too We will enjoy| [person:ruth f 2-2][person:ruth f 5-5][person:ann f 8-8][person:we g(sharon:wanda) 12-12]
sharon| Yeah that s a great idea she loves pool I will wait for you people we will rock this time too See you| [person:ann f 6-6][person:sharon f 9-9][person:we g(sharon:wanda) 13-13][person:we g(sharon:wanda) 15-15][person:ruth f 22-22]
ruth| Bye Bye See you at pool| [person:sharon f 3-3]

conv:chats_1126_98:aug_0:chat_0:chataug_0| andy millie| [person:andy m 0-0][person:millie f 1-1]
millie| Andy I have a huge secret I want to share| [person:andy m 0-0][person:andy m 1-1][person:andy m 6-6]
andy| Really Millie Is it really that big a secret| [person:millie f 1-1]
millie| Yes Andy Do you want to know| [person:andy m 1-1][person:andy m 3-3]
andy| Tell me Millie I want to know| [person:andy m 1-1][person:millie f 2-2][person:andy m 3-3]
millie| How d you feel about it| [person:millie f 2-2]
andy| That made me speechless| [person:andy m 2-2]
millie| Don t share it with anyone| [person:andy m 5-5]
andy| Sure I won t Even with Jake or Dennis Why did you not tell them though| [person:andy m 1-1][person:jake m 6-6][person:dennis m 8-8][person:millie f 11-11][person:andy m 14-14]
millie| I don t want them to know| [person:millie f 0-0][person:millie f 4-4]
andy| I feel they might ve given a good advice| [person:millie f 0-0][person:millie f 2-2]

conv:chats_1126_99:aug_0:chat_0:chataug_0| beverley jim| [person:beverley f 0-0][person:jim m 1-1]
beverley| Hey Jim How was the work going on| [person:jim m 1-1]
jim| Yeah It is going good What about you| [person:beverley f 7-7]
beverley| Mine too was good Shall we go out to eat this weekend| [person:beverley f 0-0][person:we g(beverley:jim) 5-5]
jim| Yeah That will be a nice idea I am ready| [person:jim m 7-7]
beverley| We shall invite our colleagues Lily and Oliver with us What do you say| [person:we g(beverley:jim) 0-0][person:we g(beverley:jim) 3-3][person:lily f 5-5][person:oliver m 7-7][person:we g(beverley:jim) 9-9][person:jim m 12-12]
jim| Yeah We can invite them It will be great fun too| [person:we g(beverley:jim) 1-1][person:colleagues g(lily:oliver) 4-4]
beverley| But I am not sure whether they like to come with us| [person:beverley f 1-1][person:colleagues g(lily:oliver) 6-6][person:we g(beverley:jim) 11-11]
jim| Why not they both are very jolly type So they will accept to come with us| [person:colleagues g(lily:oliver) 2-2][person:colleagues g(lily:oliver) 9-9][person:we g(beverley:jim) 15-15]
beverley| That is fine Let us go to eat street and have all the fun together| [person:we g(beverley:jim) 4-4]
jim| Okay I am excited to go there Bye| [person:jim m 1-1]

conv:chats_1126_100:aug_0:chat_0:chataug_0| beverly gabriel| [person:beverly f 0-0][person:gabriel m 1-1]
beverly| Gabriel I need to tell you something which is very shocking| [person:gabriel m 0-0][person:beverly f 1-1][person:gabriel m 5-5]
gabriel| What issue have shocked you so much| [person:beverly f 4-4]
beverly| I heard the security guard Tyler talk something wrong about a student| [person:beverly f 0-0][person:tyler m 5-5]
gabriel| What Do you know the student personally| [person:beverly f 2-2]
beverly| Yes he was talking about Kenneth who is a very good friend of mine| [person:tyler m 1-1][person:kenneth m 5-5][person:kenneth m 11-11][person:beverly f 13-13]
beverly| I cannot believe what I ve just heard from the security guard| [person:beverly f 0-0][person:beverly f 4-4]
gabriel| Oh my god I could barely believe my ears about what all you said in the phone call| [person:gabriel m 1-1][person:gabriel m 3-3][person:gabriel m 7-7][person:beverly f 12-12]
gabriel| Are you sure you were talking about the right person| [person:beverly f 1-1][person:beverly f 3-3]
beverly| I always knew there was something fishy about Kenneth| [person:beverly f 0-0][person:kenneth m 8-8]
gabriel| I don t agree with you Beverly I guess Tyler might be mistaken| [person:gabriel m 0-0][person:beverly f 5-5][person:beverly f 6-6][person:gabriel m 7-7][person:tyler m 9-9]

conv:chats_1126_101:aug_0:chat_0:chataug_0| bryan ellen| [person:bryan m 0-0][person:ellen f 1-1]
ellen| Hey Bryan I need some help with Faith here| [person:bryan m 1-1][person:ellen f 2-2][person:faith f 7-7][location:here s 8-8]
bryan| Hi Ellen yea sure tell me| [person:ellen f 1-1][person:bryan m 5-5]
ellen| I m trying to take Faith to the dentist and she s making excuses to skip the visit| [person:ellen f 0-0][person:faith f 5-5][location:dentist s 8-8][person:faith f 10-10]
bryan| OKAY What reason she is telling| [person:faith f 3-3]
ellen| She says she doesn t want to go because she ate lunch and didn t brush her teeth| [person:faith f 0-0][person:faith f 2-2][person:faith f 9-9][person:faith f 16-16]
bryan| Oh that s funny really i understand your situation| [person:bryan m 5-5][person:ellen f 7-7]
ellen| Funny Yeah really I don t know what to do now You got some ideas| [person:ellen f 3-3][person:bryan m 11-11]
bryan| Try to tell her that there is nothing to afraid that much its just small check up| [person:faith f 3-3]
ellen| I m not sure that she ll fall for it but I ll give it a try| [person:ellen f 0-0][person:faith f 5-5][person:ellen f 11-11]
bryan| OK let me know after that| [person:bryan m 2-2]

conv:chats_1126_103:aug_0:chat_0:chataug_0| britney ed| [person:britney f 0-0][person:ed m 1-1]
britney| Hi Ed Have you got ready for the dance performance| [person:ed m 1-1][person:ed m 3-3]
ed| Hi Britney Yeah I am ready for the performance What about you| [person:britney f 1-1][person:ed m 3-3][person:ed m 11-11]
britney| Yeah I too ready but what about the costume| [person:britney f 1-1]
ed| Okay I will send you the picture of your costume in the whats app see that and say| [person:ed m 1-1][person:britney f 4-4][person:britney f 8-8]
britney| Okay The dress is good but I am not satisfied with that Can you suggest me| [person:britney f 6-6][person:ed m 13-13][person:britney f 15-15]
ed| Then you can ask the costumes with your sister s Ashley and Keira| [person:britney f 1-1][person:ed m 7-7][person:sister f 8-8][person:ashley f 10-10][person:keira f 12-12]
britney| I asked them and searched in their cupboards but I didn t get anything attractive| [person:britney f 0-0][person:them g() 2-2][person:them g() 6-6][person:britney f 9-9]
ed| Oh no I can remember some of the dresses like red lehenga choli and white frock| [person:ed m 2-2]
britney| Yes I checked it but it is too small for me| [person:britney f 1-1][person:britney f 10-10]
ed| Okay then don t worry we will purchase by tomorrow bye| [person:we g(britney:ed) 5-5]

conv:chats_1126_104:aug_0:chat_0:chataug_0| arthur jasmine| [person:arthur m 0-0][person:jasmine f 1-1]
arthur| Hello dear I am there at the donut shop tell me what kind of donut you feel like eating| [person:arthur m 2-2][person:arthur m 10-10][person:jasmine f 15-15]
jasmine| I would like some glazed ones Try to get some strawberry flavored for Brian also| [person:jasmine f 0-0][person:brian m 13-13]
arthur| Fine the bakery owner Lisa even suggested me the same I will get you them| [person:lisa f 4-4][person:arthur m 7-7][person:arthur m 10-10][person:jasmine f 13-13]
jasmine| Alright Have you decided what to get from the cookie store| [person:arthur m 2-2]
arthur| No I haven t decide what to get from the cookie store Let me first finish up with donuts| [person:arthur m 1-1][person:arthur m 13-13]
jasmine| Don t worry Lisa is very good at recommending things Just check with her regarding this| [person:lisa f 3-3][person:lisa f 13-13]
arthur| Okay I will check with her and should I get anything else for our son Brian| [person:arthur m 1-1][person:lisa f 5-5][person:arthur m 8-8][person:our g(arthur:jasmine) 13-13][person:brian m 14-14][person:brian m 15-15]
jasmine| Please don t do that He is still having the cold because of the soft drinks you got him yesterday| [person:brian m 5-5][person:arthur m 16-16][person:brian m 18-18]
arthur| Alright I have got every thing and I will start with in 5 minutes| [person:arthur m 1-1][person:arthur m 7-7]
jasmine| Make sure you got everything from the list I gave you See you soon| [person:arthur m 2-2][person:jasmine f 8-8][person:arthur m 10-10][person:arthur m 12-12]

conv:chats_1126_105:aug_0:chat_0:chataug_0| april javier| [person:april f 0-0][person:javier m 1-1]
april| Hey Javier I was thinking about inviting Theresa and Roger to the lake house What do you think| [person:javier m 1-1][person:april f 2-2][person:theresa f 7-7][person:roger m 9-9][person:javier m 16-16]
javier| I think that s a great idea| [person:javier m 0-0]
april| It will be their first time at a lake house| [person:their g(theresa:roger) 3-3]
javier| We should make it special for them then| [person:we g(april:javier) 0-0][person:their g(theresa:roger) 6-6]
april| How do you plan on doing that| [person:javier m 2-2]
javier| We could bring their favorite food and favorite music| [person:we g(april:javier) 0-0][person:their g(theresa:roger) 3-3]
april| Do you know what food and music they like| [person:javier m 1-1][person:their g(theresa:roger) 7-7]
javier| I have a few things in mind I ll make the arrangements| [person:javier m 0-0][person:javier m 7-7]
april| Alright then I ll invite them to the lake house this weekend| [person:april f 2-2][person:their g(theresa:roger) 5-5]
javier| Alright I m very excited for the weekend| [person:javier m 1-1]

conv:chats_1126_107:aug_0:chat_0:chataug_0| ruth sharon| [person:ruth f 0-0][person:sharon f 1-1]
sharon| Hi Ruth How are you doing| [person:ruth f 1-1][person:ruth f 4-4]
ruth| Hi Sharon I am doing good What about you| [person:sharon f 1-1][person:ruth f 2-2][person:sharon f 8-8]
sharon| Yeah I am doing good Are you free I want to ask you something| [person:sharon f 1-1][person:ruth f 6-6][person:sharon f 8-8][person:ruth f 12-12]
ruth| Yes Tell me what is the matter| [person:ruth f 2-2]
sharon| Me and Wanda were going to play pool game so we would like to join you with us| [person:sharon f 0-0][person:wanda f 2-2][person:we g(sharon:wanda) 10-10][person:ruth f 15-15][person:we g(sharon:wanda) 17-17]
ruth| No I am little busy with my work I cant be able to come| [person:ruth f 1-1][person:ruth f 6-6][person:ruth f 8-8]
sharon| Oh You can do your work later If you join with us we would feel very happy So please join us| [person:ruth f 1-1][person:ruth f 4-4][person:ruth f 8-8][person:us g(sharon:wanda) 11-11][person:we g(sharon:wanda) 12-12][person:us g(sharon:wanda) 20-20]
ruth| Okay Fine I will come and I would like to call my sister Ann She likes pool very much| [person:ruth f 2-2][person:ruth f 6-6][person:ruth f 11-11][person:sister f 12-12][person:sister f 13-13][person:sister f 14-14]
sharon| Oh Sure It is nice to hear then come and join us with in 1 hour See you there bye| [person:us g(sharon:wanda) 11-11][person:ruth f 17-17]
ruth| Yeah We will be there within 1 hour Bye| [person:we g(ruth:sister) 1-1]

conv:chats_1126_108:aug_0:chat_0:chataug_0| matthew stella| [person:matthew m 0-0][person:stella f 1-1]
matthew| Hey Stella What do you think about a day out in Zoo| [person:stella f 1-1][person:stella f 4-4][location:zoo s 11-11]
