conv:people_2019082001_6:aug_0:chat_0:chataug_0| benjamin mike| [person:benjamin m 0-0][person:mike m 1-1]
mike| The game is this weekend Are you excited| [person:benjamin m 6-6]
benjamin| Yes I am I have four tickets Who should we invite| [person:benjamin m 1-1][person:benjamin m 3-3][person:we g(mike:benjamin) 9-9]
mike| Jon Dwayne and Juan wanted to go but you said you only have four tickets| [person:jon m 0-0][person:dwayne m 1-1][person:juan m 3-3][person:benjamin m 8-8][person:benjamin m 10-10]
benjamin| Well I am certainly not going to miss it So who are we going to leave out| [person:benjamin m 1-1][person:we g(mike:benjamin) 12-12]
mike| I am not sure Who do you suggest| [person:mike m 0-0][person:benjamin m 6-6]
benjamin| That is kind of hard I don t want any one of them to feel that we did not select them| [person:benjamin m 5-5][person:them g(jon:dwayne:juan) 12-12][person:we g(mike:benjamin) 16-16][person:them g(jon:dwayne:juan) 20-20]
mike| Well it is inevitable unless you do not want to go| [person:benjamin m 5-5]
benjamin| Are you nuts I would not miss it for the world| [person:mike m 1-1][person:benjamin m 3-3]
mike| Well then what do you want to do| [person:benjamin m 4-4]
benjamin| You can try to get another ticket| [person:mike m 0-0]
mike| Good idea I would try to do that| [person:mike m 2-2]

conv:people_2019082001_9:aug_0:chat_0:chataug_0| chloe russell| [person:chloe f 0-0][person:russell m 1-1]
chloe| Hey Russell can I ask a favor of you| [person:russell m 1-1][person:chloe f 3-3][person:russell m 8-8]
russell| Sure what do you need| [person:chloe f 3-3]
chloe| Well I left my shoes at Marias the other day and I need them| [person:chloe f 1-1][person:chloe f 3-3][person:chloe f 11-11][person:them g(chloe:russell) 13-13]
russell| What do I have to do with that| [person:russell m 2-2]
chloe| Maria was expecting me to stop by after work today but I am stuck at drinks after work| [person:maria f 0-0][person:chloe f 3-3][person:russell m 11-11]
russell| Let me guess you want me to pick up your shoes for you| [person:russell m 1-1][person:chloe f 3-3][person:russell m 5-5][person:chloe f 9-9][person:chloe f 12-12]
