conv:people_chats_0628_15:aug_0:chat_0:chataug_0| charlie emmett| [person:charlie f 0-0][person:emmett m 1-1]
charlie| Hello there|
emmett| Hey honey what s up|
charlie| Oh I just took a picture of the color paint I want for the nursery| [person:charlie f 1-1][person:charlie f 10-10]
emmett| That s cool mind you show me the color| [person:charlie f 4-4][person:emmett m 6-6]
charlie| I ll send you the picture| [person:charlie f 0-0][person:emmett m 3-3]
emmett| Wow that s very pretty You want me to get that color and paint it next weekend| [person:charlie f 5-5][person:emmett m 7-7]
charlie| Yeah that s be great|
charlie| I like to ask if my parents would like to come over and help out| [person:charlie f 0-0][person:charlie f 5-5][person:parents g() 6-6]
emmett| Lauren and Jesus Sure you can call them| [person:lauren f 0-0][person:jesus m 2-2][person:charlie f 4-4][person:them g(lauren:jesus) 7-7]
charlie| Thanks I can t wait to get the room be painted up before our child gets born| [person:charlie f 1-1][person:our g(charlie:emmett) 13-13]
emmett| Yeah me too I love the colors you choose for the room| [person:emmett m 1-1][person:emmett m 3-3][person:charlie f 7-7]

conv:people_chats_0628_16:aug_0:chat_0:chataug_0| aralis zoey| [person:aralis f 0-0][person:zoey f 1-1]
zoey| Hey there Did you see old man Paul earlier| [person:aralis f 3-3][person:paul m 7-7]
aralis| Hi Zoey Yeah I actually saw him a bit earlier today| [person:zoey f 1-1][person:aralis f 3-3][person:paul m 6-6]
zoey| So Aralis did he have that cooler like he usually does| [person:aralis f 1-1][person:paul m 3-3][person:paul m 8-8]
aralis| Yeah he did He always has that with him Did you know he has a family| [person:paul m 1-1][person:paul m 3-3][person:paul m 8-8][person:zoey f 10-10][person:paul m 12-12][person:family g() 15-15]
zoey| Oh really So he lives with his family| [person:paul m 3-3][person:paul m 6-6][person:family g() 7-7]
aralis| Yeah he lives with his kids He walks around all the time but he seems like he may have some mental issues as well| [person:paul m 1-1][person:paul m 4-4][person:kids g() 5-5][person:paul m 6-6][person:paul m 13-13][person:paul m 16-16]
zoey| He seems very nice but off a little though I have stopped and talked with him before| [person:paul m 0-0][person:zoey f 9-9][person:paul m 15-15]
aralis| Yeah Jim is the one who told me this stuff about him originally| [person:jim m 1-1][person:aralis f 7-7][person:paul m 11-11]
zoey| I don t know if Jim told you but I ve seen him with groceries before from HEB I ve seen him around Home Depot as well| [person:zoey f 0-0][person:jim m 5-5][person:aralis f 7-7][person:zoey f 9-9][person:paul m 12-12][person:zoey f 18-18][person:paul m 21-21]
aralis| Really He seems like a pretty interesting guy if you ask me| [person:paul m 1-1][person:zoey f 9-9][person:aralis f 11-11]
zoey| I think so too He s nice and just keeps to himself He s harmless honestly| [person:zoey f 0-0][person:paul m 4-4][person:paul m 11-11][person:paul m 12-12]
aralis| Yeah I get what you mean I think so too| [person:aralis f 1-1][person:zoey f 4-4][person:aralis f 6-6]
zoey| Anyway I need to go for now See you later Aralis| [person:zoey f 1-1][person:aralis f 8-8][person:aralis f 10-10]
aralis| Cool I ll see you later Zoey| [person:aralis f 1-1][person:zoey f 4-4][person:zoey f 6-6]

conv:people_chats_0628_17:aug_0:chat_0:chataug_0| jim kim| [person:jim m 0-0][person:kim f 1-1]
jim| Hi Kim Guess what| [person:kim f 1-1]
kim| Oh you have solved the hard Mathematics calculation| [person:jim m 1-1]
jim| If it was that it would have not been a thing to be sad about|
kim| Oh my goodness Jim You sound disturbed| [person:kim f 1-1][person:jim m 3-3][person:jim m 4-4]
jim| Being disturbed is even an understatement I was attacked by my nephew Tim and I sustained a minor injury| [person:jim m 6-6][person:jim m 10-10][person:tim m 12-12][person:jim m 14-14]
kim| What An attack from your nephew That is weird Have you called an ambulance for immediate treatment| [person:jim m 4-4][person:jim m 10-10]
jim| Oh no It is not that serious Tim attacked me with ordinary plastic spork| [person:tim m 7-7][person:jim m 9-9]
kim| Well if you say so But have you informed Selena about the incident| [person:jim m 2-2][person:jim m 7-7][person:selena f 9-9]
jim| I told Tim s mother and she was dumbfounded at the allegation| [person:jim m 0-0][person:tim m 2-2][person:selena f 6-6]
kim| I see Selena would expect any child of hers to know not to attack anyone without intent to do real damage So she will be definitely disappointed| [person:kim f 0-0][person:selena f 2-2][person:selena f 8-8][person:anyone u 14-14][person:selena f 22-22]
jim| Well I know where you are coming from and I am also likewise disappointed| [person:jim m 1-1][person:kim f 4-4][person:jim m 9-9]
kim| One more thing Are you sure your nephew is perfectly okay and not a bit slow| [person:jim m 4-4][person:jim m 6-6]

conv:people_chats_0628_18:aug_0:chat_0:chataug_0| abel miranda| [person:abel m 0-0][person:miranda f 1-1]
abel| Hey Miranda how are you| [person:miranda f 1-1][person:miranda f 4-4]
miranda| Hey I am good cant complain what about you| [person:miranda f 1-1][person:abel m 8-8]
abel| I am good thanks I was just wondering if you were still coming over after class| [person:abel m 0-0][person:abel m 4-4][person:miranda f 9-9]
abel| I need help with this cake I am baking for my son Chase you know his birthday is tomorrow| [person:abel m 0-0][person:abel m 6-6][person:abel m 10-10][person:chase m 11-11][person:chase m 12-12][person:miranda f 13-13][person:chase m 15-15]
miranda| Yes of course I will be there| [person:miranda f 3-3]
miranda| Do you need me to pick anything up| [person:abel m 1-1][person:abel m 3-3]
abel| Susie needs some coffee is possible| [person:susie f 0-0]
abel| She called me earlier and told me we were all out| [person:susie f 0-0][person:abel m 2-2][person:abel m 6-6][person:we g(abel:susie) 7-7]
miranda| OK i will get the coffee thats not a problem| [person:miranda f 1-1]
miranda| Anything else|
abel| I think i got everything but the candles for the cake| [person:abel m 0-0][person:abel m 2-2]
miranda| Ok i will pick them up| [person:miranda f 1-1]
abel| Thanks MIranda| [person:miranda f 1-1]

conv:people_chats_0628_20:aug_0:chat_0:chataug_0| george jasmine| [person:george m 0-0][person:jasmine f 1-1]
jasmine| Geroge have you heard| [person:geroge m 0-0][person:george m 2-2]
george| No what|
jasmine| Kacie and Mike are moving| [person:kacie f 0-0][person:mike m 2-2]
jasmine| I m so sad about it| [person:jasmine f 0-0]
jasmine| I m going to miss them deeply| [person:jasmine f 0-0][person:them g(kacie:mike) 5-5]
george| I know Bad news| [person:geroge m 0-0]
george| I can t believe they are going back to Minnesota| [person:geroge m 0-0][person:them g(kacie:mike) 4-4][location:minnesota s 9-9]
george| It s so cold there| [location:minnesota s 4-4]
george| Why would anyone would want to deal with that cold| [person:anyone u 2-2]
jasmine| I know it makes no sense| [person:jasmine f 0-0]
george| I though they were happy here| [person:george m 0-0][person:them g(kacie:mike) 2-2]
