conv:people_2019082201_69:aug_0:chat_0:chataug_0| ivan lawrence| [person:ivan m 0-0][person:lawrence m 1-1]
ivan| Hey I was planning to have a few drinks Would you like to join me| [person:ivan m 1-1][person:lawrence m 10-10][person:ivan m 14-14]
lawrence| Hey Sure Who else will be joining|
ivan| I am thinking of inviting Dylan Gerald and Kenneth What do you say| [person:ivan m 0-0][person:dylan m 5-5][person:gerald m 6-6][person:kenneth m 8-8][person:lawrence m 11-11]
lawrence| I don t think that will be a good idea You know Dylan and Gerald don t talk to each other| [person:lawrence m 0-0][person:ivan m 10-10][person:dylan m 12-12][person:gerald m 14-14]
ivan| Yeah You are right I almost forgot it So what do you think| [person:lawrence m 1-1][person:ivan m 4-4][person:lawrence m 11-11]
lawrence| We already had a party with Dylan I think this time we should invite Gerald| [person:we g(ivan:lawrence) 0-0][person:dylan m 6-6][person:lawrence m 7-7][person:we g(ivan:lawrence) 11-11][person:gerald m 14-14]
ivan| That sounds good to me Can you invite Gerald I will ask Kenneth| [person:ivan m 4-4][person:lawrence m 6-6][person:gerald m 8-8][person:ivan m 9-9][person:kenneth m 12-12]
lawrence| Okay I can do that| [person:lawrence m 1-1]
ivan| Thank you so much Bye for now| [person:lawrence m 1-1]
lawrence| Mention not Bye Take care|

conv:people_2019082201_70:aug_0:chat_0:chataug_0| amy louis| [person:amy f 0-0][person:louis m 1-1]
louis| Hi Amy| [person:amy f 1-1]
amy| What s up Louis| [person:louis m 3-3]
louis| Not much How are you doing| [person:amy f 4-4]
amy| I m doing well thanks When do you think is a good time to visit with Logan and Kelly| [person:amy f 0-0][person:louis m 7-7][person:logan m 16-16][person:kelly f 18-18]
louis| Let s have a July 4th party|
amy| They love the 4th Great idea They always have the best fireworks display Do you want to bring the drinks and I can bring the food| [person:they g(logan:kelly) 0-0][person:they g(logan:kelly) 6-6][person:louis m 14-14][person:amy f 21-21]
louis| My wife already suggested that she would like to supply the food which is going to cost a good amount| [person:louis m 0-0][person:wife f 1-1][person:wife f 5-5]
amy| Okay then I can bring the drinks if that works| [person:amy f 2-2]
louis| That sounds great It will be fun to visit with our neighbors| [person:our g(louis:amy:logan:kelly:wife) 10-10][person:neighbors g() 11-11]
amy| Logan was saying how much he likes it when we get together| [person:logan m 0-0][person:logan m 5-5][person:we g(louis:amy:logan:kelly) 9-9]
louis| Let s hope Kelly is up for a part this time too| [person:kelly f 3-3]
amy| I know Okay we ll be in touch about plans in the future| [person:amy f 0-0][person:we g(louis:amy) 3-3]
louis| Sounds good talk to you soon| [person:amy f 4-4]

conv:people_2019082201_71:aug_0:chat_0:chataug_0| melissa rebecca| [person:melissa f 0-0][person:rebecca f 1-1]
rebecca| Melissa can you do me a favor| [person:melissa f 0-0][person:melissa f 2-2][person:rebecca f 4-4]
melissa| Tell me dear what do you need| [person:melissa f 1-1][person:rebecca f 5-5]
rebecca| See my friend Alexis is coming today and I have promised her to pick up from the mall But you know I am stuck with work can you pick her| [person:rebecca f 1-1][person:alexis f 2-2][person:alexis f 3-3][person:rebecca f 8-8][person:alexis f 11-11][person:melissa f 19-19][person:rebecca f 21-21][person:melissa f 27-27]
melissa| When she will come| [person:alexis f 1-1]
rebecca| She will arrive at 1 pm| [person:alexis f 0-0]
