conv:people_chats_0520_54:aug_0:chat_0:chataug_0| edgar juan| [person:edgar m 0-0][person:juan m 1-1]
edgar| Juan what do you think about Maxine| [person:juan m 0-0][person:juan m 3-3][person:maxine f 6-6]
juan| In what way|
edgar| Do you have a crush on her| [person:juan m 1-1][person:maxine f 6-6]
juan| Why do you ask| [person:edgar m 2-2]
edgar| I heard Maxine talking to Abigail about you| [person:edgar m 0-0][person:maxine f 2-2][person:abigail f 5-5][person:juan m 7-7]
juan| Really what did she say| [person:maxine f 3-3]
edgar| Maxine said she s interested in you| [person:maxine f 0-0][person:maxine f 2-2][person:juan m 6-6]
juan| I m interested in Maxine| [person:juan m 0-0][person:maxine f 4-4]
edgar| That s great to hear|
juan| Now that that s out in the open I have a plan| [person:juan m 8-8]
edgar| Let me hear it| [person:edgar m 1-1]
juan| I can ask Maxine out on a double date with you and Abigail| [person:juan m 0-0][person:maxine f 3-3][person:edgar m 10-10][person:abigail f 12-12]
edgar| Abigail is my girlfriend and she s friends with Maxine That ll work| [person:abigail f 0-0][person:edgar m 2-2][person:abigail f 3-3][person:abigail f 5-5][person:friends g(maxine:abigail) 7-7][person:maxine f 9-9]

conv:people_chats_0520_56:aug_0:chat_0:chataug_0| jane rita| [person:jane f 0-0][person:rita f 1-1]
jane| hi i have changed my heart over my career choice| [person:jane f 1-1][person:jane f 4-4][person:jane f 7-7]
rita| why|
jane| i want to pursue a career in acting instead of accounting| [person:jane f 0-0]
rita| okay|
rita| you will be a great one| [person:jane f 0-0]
jane| my two dads Adam and john do not agree with my choice| [person:jane f 0-0][person:adam m 3-3][person:john m 5-5][person:jane f 10-10]
rita| it might be hard for them| [person:them g(adam:john) 5-5]
rita| because both of them are accountants| [person:them g(adam:john) 3-3]
jane| so what do you think| [person:rita f 3-3]
jane| should i try and convince them more| [person:jane f 1-1][person:them g(adam:john) 5-5]
rita| yes i think you should| [person:rita f 1-1][person:jane f 3-3]
rita| if you want it so bad| [person:jane f 1-1]
jane| okay|
jane| thanks|

conv:people_chats_0520_58:aug_0:chat_0:chataug_0| dakota frank| [person:dakota f 0-0][person:frank m 1-1]
frank| Europe will always be there Dakota| [location:europe s 0-0][person:dakota f 5-5]
frank| But these cheap tickets to Hawaii won t be| [location:hawaii s 5-5]
dakota| That is true Jack and Amanda said the sale was only going on another 2 weeks| [person:jack m 3-3][person:amanda f 5-5]
frank| I promise you will love Hawaii| [person:frank m 0-0][person:dakota f 2-2][location:hawaii s 5-5]
dakota| I could use someplace warm| [person:dakota f 0-0]
