conv:people_0909_1734_1:aug_0:chat_0:chataug_0| christine eva| [person:christine f 0-0][person:eva f 1-1]
christine| Hey Eva where do you wanna go this sunday| [person:eva f 1-1][person:eva f 4-4]
eva| You mean hiking We can just go to one of the usual spots| [person:christine f 0-0][person:we g(christine:eva) 3-3]
christine| I was thinking of trying something new like XYZ hills| [person:christine f 0-0]
eva| Oh but the thing is Andy was planning to join us| [person:andy m 5-5][person:us g(christine:eva) 10-10]
christine| Oh I see yeah it s better if we go somewhere we know| [person:christine f 1-1][location:it s 4-4][person:we g(christine:eva:andy) 8-8][person:we g(christine:eva:andy) 11-11]
christine| But just Andy What about Denise| [person:andy m 2-2][person:denise f 5-5]
eva| She s busy has to attend her kid s soccer game| [person:denise f 0-0][person:denise f 6-6]
christine| Oh okay So it ll be just us three| [location:it s 3-3][person:we g(christine:eva:andy) 7-7]
eva| Yeah it seems like it| [location:it s 1-1][location:it s 4-4]
christine| Are we going to meet up there| [person:we g(christine:eva:andy) 1-1][location:it s 6-6]
eva| Denise won t be using her car so we can have Andy pick us up and drive us there| [person:denise f 0-0][person:denise f 5-5][person:we g(christine:eva) 8-8][person:andy m 11-11][person:us g(christine:eva) 13-13][person:us g(christine:eva) 17-17][location:it g() 18-18]
christine| Ok great Let s do it that way Talk to you later| [location:it s 5-5][person:eva f 10-10]

conv:people_0909_1734_2:aug_0:chat_0:chataug_0| janice jen| [person:janice f 0-0][person:jen f 1-1]
jen| Hey Janice who should we invite for the event| [person:janice f 1-1][person:we g(jen:janice) 4-4]
janice| Event Which event|
jen| The one Wilson asked us to help with| [person:wilson m 2-2][person:we g(jen:janice) 4-4]
janice| Oh right the church one sorry I forgot| [location:church s 3-3][person:janice f 6-6]
jen| Yeah so what do we do about the invites| [person:we g(jen:janice) 4-4]
janice| I don t know That s kind of a hard task isn t it| [person:janice f 0-0][location:church s 13-13]
janice| I don t even know where to begin| [person:janice f 0-0]
jen| Hmm Maybe we should ask Lisa for the address list| [person:we g(jen:janice) 2-2][person:lisa f 5-5]
janice| Oh yeah sure I have no idea who to even talk to so we do need a list| [person:janice f 3-3][person:we g(jen:janice) 13-13]
janice| Isn t it kinda hard for just us two to invite people for a whole event by ourselves though| [location:church s 2-2][person:we g(jen:janice) 7-7]
jen| You re right We should team up with the others too| [person:janice f 0-0][person:we g(jen:janice) 3-3][person:others g() 9-9]
janice| Yeah we can just grab the list and have everyone call the numbers Sounds good| [person:we g(jen:janice) 1-1][person:others g() 9-9]
jen| Sure I ll talk to you later then| [person:jen f 1-1][person:janice f 5-5]

conv:people_0909_1734_5:aug_0:chat_0:chataug_0| jane richard| [person:jane f 0-0][person:richard m 1-1]
jane| Hi Richard How are you| [person:richard m 1-1][person:richard m 4-4]
richard| Good how are you How are Chris and Patricia| [person:jane f 3-3][person:chris m 6-6][person:patricia f 8-8]
jane| We re all doing well I want to buy a new computer for my Dad| [person:we g(jane:chris:patricia) 0-0][person:jane f 5-5][person:jane f 13-13][person:dad m 14-14]
richard| Oh cool what kind of specifications do they want| [person:they g(dad) 7-7]
jane| Well Dad likes to game so he wants a fast hard drive Mom makes movies and takes photos and so a lot of storage is important as well| [person:dad m 1-1][person:dad m 6-6][person:mom f 12-12]
richard| The Schnell 153 looks nice for them I think| [person:they g(dad:mom) 6-6][person:richard m 7-7]
jane| I m taking a look at it Yeah it would be good And the price is within my range| [person:jane f 0-0][person:jane f 17-17]
richard| When do you plan to make your purchase| [person:jane f 2-2][person:jane f 6-6]
jane| I decided to go ahead and take this now| [person:jane f 0-0]
richard| That s great I think it will be just right for them| [person:richard m 3-3][person:they g(dad:mom) 11-11]

conv:people_0909_1734_6:aug_0:chat_0:chataug_0| brian caroline| [person:brian m 0-0][person:caroline f 1-1]
brian| Hi hello|
caroline| Hi How r u| [person:brian m 3-3]
brian| Fine u| [person:caroline f 1-1]
caroline| Ya Good throw your stuff in the back and ride up front with me| [person:brian m 3-3][location:home g() 9-9][person:caroline f 13-13]
brian| Thank you for giving me a ride home I did not want to call my parents because they were at Mimi s Cafe for my aunt s birthday| [person:caroline f 1-1][person:brian m 4-4][person:brian m 8-8][person:brian m 14-14][person:parents g() 15-15][person:parents g() 17-17][person:brian m 24-24][person:aunt f 25-25]
caroline| That place has the best burgers in town The atmosphere is also nice Good food and a good setting what more could you ask for We should eat there after our next basketball game| [location:place s 1-1][location:town s 7-7][person:brian m 22-22][person:we g(brian:caroline) 25-25][location:place s 28-28][person:we g(brian:caroline) 30-30]
brian| Yes that sounds like a good plan When is our next game by the way| [person:we g(brian:caroline) 9-9][location:our_next_game s 9-11]
caroline| I think it is after Winter break which is a long way off Do you have any plans set up for the upcoming vacation| [person:caroline f 0-0][person:brian m 14-14][location:vacation s 23-23]
brian| Well besides going to basketball practices with you I will most likely be working| [person:caroline f 7-7][person:brian m 8-8]
caroline| Well Starbucks was a good first job for me and I loved the people I worked with However my work schedule was neither convenient nor easy| [person:caroline f 8-8][person:caroline f 10-10][person:caroline f 14-14][person:caroline f 18-18]
brian| Well what are you doing now at your new job| [person:caroline f 3-3][person:caroline f 7-7]
