conv:people_2019082201_262:aug_0:chat_0:chataug_0| abigail lara| [person:abigail f 0-0][person:lara f 1-1]
lara| I am struggling with painting Can you help me sometime| [person:lara f 0-0][person:abigail f 6-6][person:lara f 8-8]
abigail| of course I can help you| [person:abigail f 2-2][person:lara f 5-5]
lara| You are a great painter| [person:abigail f 0-0]
abigail| Thanks Let s go to the park after class| [location:park s 6-6]
lara| sounds good to me| [person:lara f 3-3]
abigail| maybe Madison Eve and Barbara wanna go too| [person:madison f 1-1][person:barbara f 4-4]
lara| I will ask them after class| [person:lara f 0-0][person:them g(madison:barbara) 3-3]
abigail| I really enjoy the class| [person:abigail f 0-0]
lara| Oh so do I| [person:lara f 3-3]
abigail| I appreciate you asking| [person:abigail f 0-0][person:lara f 2-2]
lara| Yeah I really need to get help in this area| [person:lara f 1-1]

conv:people_2019082201_263:aug_0:chat_0:chataug_0| benjamin mike| [person:benjamin m 0-0][person:mike m 1-1]
mike| The game is this weekend Are you excited| [person:benjamin m 6-6]
benjamin| Yes I am I have four tickets Who should we invite| [person:benjamin m 1-1][person:benjamin m 3-3][person:we g(mike:benjamin) 9-9]
mike| Jon Dwayne and Juan wanted to go but you said you only have four tickets| [person:jon m 0-0][person:dwayne m 1-1][person:juan m 3-3][person:benjamin m 8-8][person:benjamin m 10-10]
benjamin| Well I am certainly not going to miss it So who are we going to leave out| [person:benjamin m 1-1][person:we g(mike:benjamin) 12-12]
mike| I am not sure Who do you suggest| [person:mike m 0-0][person:benjamin m 6-6]
benjamin| That is kind of hard I don t want any one of them to feel that we did not select them| [person:benjamin m 5-5][person:them g(jon:dwayne:juan) 12-12][person:we g(mike:benjamin) 16-16][person:them g(jon:dwayne:juan) 20-20]
mike| Well it is inevitable unless you do not want to go| [person:benjamin m 5-5]
benjamin| Are you nuts I would not miss it for the world| [person:mike m 1-1][person:benjamin m 3-3]
mike| Well then what do you want to do| [person:benjamin m 4-4]
benjamin| You can try to get another ticket| [person:mike m 0-0]
mike| Good idea I would try to do that| [person:mike m 2-2]

conv:people_2019082201_265:aug_0:chat_0:chataug_0| carol jackie| [person:carol f 0-0][person:jackie f 1-1]
carol| Hi where are meeting Joan and Sophia| [person:joan f 4-4][person:sophia f 6-6]
jackie| Gosh I am not sure Since they are on the South side I can easily head over to them| [person:jackie f 1-1][person:they g(joan:sophia) 6-6][person:jackie f 12-12][person:they g(joan:sophia) 18-18]
