conv:people_chats_0629_123:aug_0:chat_0:chataug_0| dominic sylvia| [person:dominic m 0-0][person:sylvia f 1-1]
sylvia| I met the big boss yesterday| [person:sylvia f 0-0][person:boss m 4-4]
dominic| Is he as bad as everyone says he is| [person:boss m 1-1][person:everyone g() 5-5][person:boss m 7-7]
sylvia| Yes Peter warned me about him and Peter was right the big boss is a big jerk| [person:boss m 1-1][person:sylvia f 3-3][person:boss m 5-5][person:peter m 7-7]
dominic| Kathleen told me that she can hear him yelling at people from her office| [person:kathleen f 0-0][person:dominic m 2-2][person:kathleen f 4-4][person:boss m 7-7][person:kathleen f 12-12][location:office s 13-13]
sylvia| He reminds me of Cam Newton Did you hear he is going to the New england Patriots| [person:boss m 0-0][person:sylvia f 2-2][person:cam_newton m 4-4][person:cam_newton m 5-5][person:dominic m 7-7][person:cam_newton m 9-9][person:new_england_patriots g() 14-16]
dominic| No I didnt hear about that Is he backing up Tom Brady| [person:dominic m 1-1][person:cam_newton m 7-7][person:tom_brady m 10-10][person:tom_brady m 10-11]
sylvia| No he left the Panthers to go to the New England Patriots| [person:cam_newton m 1-1][person:panthers g() 4-4][person:new_england_patriots g() 9-11]
dominic| He was a great quarterback in his day but I dont theink he is quiet what he used to be| [person:cam_newton m 0-0][person:cam_newton m 6-6][person:dominic m 9-9][person:cam_newton m 12-12][person:cam_newton m 16-16]
sylvia| well if any team can utilize him and make him better it is the Patriots| [person:cam_newton m 6-6][person:cam_newton m 9-9][person:new_england_patriots g() 14-14]
dominic| Are you going to any of the games this year| [person:sylvia f 1-1]
sylvia| Yes Peter Kathleen and I are going to see the Patriots play the Dolphins down in Miami| [person:peter m 1-1][person:kathleen f 2-2][person:sylvia f 4-4][person:new_england_patriots g() 10-10][person:dolphins g() 13-13][location:miami s 16-16]

conv:people_chats_0629_125:aug_0:chat_0:chataug_0| arnold daina| [person:arnold m 0-0][person:daina f 1-1]
daina| Hi Arnold| [person:arnold m 1-1]
daina| Can you please bring over my studio lights today| [person:arnold m 1-1][person:daina f 5-5][location:studio s 6-6]
