conv:people_long_0313_110:aug_0:chat_0:chataug_0| john rita| [person:john m 0-0][person:rita f 1-1]
john| hiii|
john| what is the problem now|
rita| i cant get out| [person:rita f 0-0]
john| try some other idea that you know| [person:rita f 5-5]
rita| i haVE BEEN TRIED ALL THOSE THINGS BUT I CANT| [person:rita f 0-0][person:rita f 8-8]
john| OK ILL SEND JANE AND ADAM THEY WILL HELP YOU TO COME OUT| [person:jane f 3-3][person:adam m 5-5][person:they g(john:rita:jane:adam) 6-6][person:rita f 9-9]
john| THEN YOU FOLLOW THE INSTRUCTIONS TELLY BY THEM| [person:rita f 1-1][person:they g(john:rita:jane:adam) 7-7]
rita| IS IT CORRECT DECISION|
john| YEAH ALMOST IT IS A GOOD DECISION|
john| WHY ARE ASKING THIS QUESTION|
john| WHAT S UR DOUBT AND CONFUSION| [person:will u 2-2]
rita| NOO IM VERY CLEARY ILL JUST ASKING TO YOU| [person:john m 8-8]
rita| KK IM READY YOU SEND THEM WITH PROPER PLAN| [person:john m 3-3][person:they g(john:rita:jane:adam) 5-5]
rita| ILL COME|
rita| NO PROBLEM|
john| NOW I9M GOING TO CALL THEM AND TELL ABOUT MY PLAN SO YOU JUST FOLLOW THEM AFTER THEY REACH YOU| [person:they g(john:rita:jane:adam) 5-5][person:john m 9-9][person:rita f 12-12][person:they g(john:rita:jane:adam) 15-15][person:they g(john:rita:jane:adam) 17-17][person:rita f 19-19]
john| KKK|
rita| YEAH IM OKAY WITH YOU| [person:john m 4-4]

conv:people_long_0313_111:aug_0:chat_0:chataug_0| jim margaret| [person:jim m 0-0][person:margaret f 1-1]
jim| hi|
margaret| how are you| [person:jim m 2-2]
jim| i am fine| [person:jim m 0-0]
jim| you want to ice cream| [person:margaret f 0-0]
margaret| Jim wants to go to a fun ice cream| [person:jim m 0-0]
jim| Dairy Queen also claims to have invented soft serve|
margaret| Icecream soft serve icecream frozen yogurt gelato and sorbet|
jim| my friends to carying and sue enjoy| [person:jim m 0-0][person:friends g() 1-1][person:jim m 5-5]
jim| margared to potential place and weigh and cons| [location:place s 3-3]
margaret| Which is correct I want some ice cream| [person:margaret f 3-3]
jim| i want an ice cream| [person:jim m 0-0]
margaret| while shopping in the mall| [location:mall s 4-4]
jim| she invities to eat ice| [person:margaret f 0-0]
margaret| jim is in the mood for gelato| [person:jim m 0-0]
jim| suggests an Italian gelato parlour| [location:parlour s 4-4]
margaret| thank you| [person:jim m 1-1]
jim| boy|
margaret| i am enjoy to ice cream| [person:margaret f 0-0]
jim| i want to fun ice cream| [person:jim m 0-0]
jim| ok boy|

conv:people_long_0313_114:aug_0:chat_0:chataug_0| george hilary| [person:george m 0-0][person:hilary f 1-1]
george| Hey Hilary what about planning for hiking this vacation| [person:hilary f 1-1]
hilary| Even I was also planning to go for a vacation anyways I like your plan| [person:hilary f 1-1][person:hilary f 11-11][person:george m 13-13]
george| So would you like to join me on the trip| [person:hilary f 2-2][person:george m 6-6]
hilary| Yeah I am intrested How about joining Sara and Natasha with us| [person:hilary f 1-1][person:sara f 7-7][person:natasha f 9-9][person:us g(george:hilary) 11-11]
george| Yeah sure why not It would be great fun|
hilary| I need some basic essentials for the hiking trip such as a backpack boots water bottle and a first aid kit| [person:hilary f 0-0]
george| Thank you for reminding me even I also need a few things| [person:hilary f 1-1][person:george m 4-4][person:george m 6-6]
george| Well we can make an official list of the essential things that we might need for the trip or else we may miss some| [person:us g(george:hilary) 1-1][person:us g(george:hilary) 12-12][person:us g(george:hilary) 20-20]
hilary| Yes we should also ask them to go through the list| [person:us g(george:hilary) 1-1][person:them g(sara:natasha) 5-5]
hilary| Whether they have forgotten to add something extremely important to the list| [person:them g(sara:natasha) 1-1]
george| Okay Hilary I will arrange a time to reach out to both of them| [person:hilary f 1-1][person:george m 2-2][person:them g(sara:natasha) 13-13]
hilary| Once I am done with the official list of things we can start shopping together| [person:hilary f 1-1][person:us g(george:hilary) 10-10]
george| Great we can meet this weekend and make plans further| [person:us g(george:hilary) 1-1]
hilary| Okay let s meet this weekend I am really excited for this vacation| [person:hilary f 6-6]

conv:people_long_0313_121:aug_0:chat_0:chataug_0| lee nirvi| [person:lee m 0-0][person:nirvi f 1-1]
lee| Hey Nirvi You wanted to speak with me| [person:nirvi f 1-1][person:nirvi f 2-2][person:lee m 7-7]
nirvi| Thanks for reaching out Lee I m so frustrated right now| [person:lee m 4-4][person:nirvi f 5-5]
lee| What s going on|
nirvi| Do you know my tenants Sam and Matthew| [person:lee m 1-1][person:nirvi f 3-3][person:sam m 5-5][person:matthew m 7-7]
lee| Their names sound familar| [person:their g(sam:matthew) 0-0]
nirvi| Well let me tell you they have been a real handful lately| [person:nirvi f 2-2][person:lee m 4-4][person:their g(sam:matthew) 5-5]
lee| Doesn t sound like fun What did they do| [person:their g(sam:matthew) 7-7]
nirvi| They have a nasty smoking habit which I have been trying to get them to stop| [person:their g(sam:matthew) 0-0][person:nirvi f 7-7][person:their g(sam:matthew) 13-13]
lee| How did you do that| [person:nirvi f 2-2]
nirvi| The other day I reached out to both of them and explained that their smoking causes a real fire risk| [person:nirvi f 3-3][person:their g(sam:matthew) 9-9][person:their g(sam:matthew) 13-13]
lee| That makes sense and I take it they aren t listening to you| [person:lee m 4-4][person:their g(sam:matthew) 7-7][person:nirvi f 12-12]
nirvi| That s right It s like they just ignore my warnings and won t listen to me| [person:their g(sam:matthew) 6-6][person:nirvi f 9-9][person:nirvi f 16-16]
lee| That has to be really frustrating|
nirvi| It really is and it makes me so frustrated| [person:nirvi f 6-6]
lee| You know what I think you should do I think you should take this matter to the Landlord and Tenant board to resolve| [person:nirvi f 0-0][person:lee m 3-3][person:nirvi f 5-5][person:lee m 8-8][person:nirvi f 10-10]
nirvi| Really That seems like an extreme move I think they are both usually nice and I don t want to get them into trouble| [person:nirvi f 7-7][person:their g(sam:matthew) 9-9][person:nirvi f 15-15][person:their g(sam:matthew) 21-21]
lee| Yeah but they are both not listening to you already and this could be a serious matter| [person:their g(sam:matthew) 2-2][person:nirvi f 8-8]
nirvi| That makes sense I think what I will do is try reaching out to them one more time and see if that won t get them to change their behavior| [person:nirvi f 3-3][person:nirvi f 6-6][person:their g(sam:matthew) 14-14][person:their g(sam:matthew) 25-25][person:their g(sam:matthew) 28-28]
lee| Maybe you will have some luck However if they don t listen you need to go to the board| [person:nirvi f 1-1][person:their g(sam:matthew) 8-8][person:nirvi f 12-12]

conv:people_long_0313_122:aug_0:chat_0:chataug_0| marc soni| [person:marc m 0-0][person:soni f 1-1]
soni| Hey Marc I need to say something to you| [person:marc m 1-1][person:soni f 2-2][person:marc m 8-8]
marc| Yeah sure Soni anything urgent| [person:soni f 2-2]
soni| I need to fly back home as soon as possible| [person:soni f 0-0][location:home s 5-5]
marc| Why What happened Is everything alright|
soni| No Marc My friends Tim and Riz are missing while they are returning to their home from vacation| [person:marc m 1-1][person:soni f 2-2][person:friends g() 3-3][person:tim m 4-4][person:riz m 6-6][person:friends g(riz:tim) 10-10][location:home s 15-15]
marc| That s sad to hear But you should consider your safety as well| [person:soni f 6-6][person:soni f 9-9]
soni| I think there is no need to worry about me I am a native of the city| [person:soni f 0-0][person:soni f 9-9][person:soni f 10-10][location:city s 16-16]
soni| I know better about taking care of myself| [person:soni f 0-0][person:soni f 7-7]
marc| You are right but you are traveling thinking about your friends| [person:soni f 0-0][person:soni f 4-4][person:soni f 9-9][person:friends g(riz:tim) 10-10]
marc| Well I am not convinced by you Can t you wait till I return from my business trip| [person:marc m 1-1][person:soni f 6-6][person:soni f 9-9][person:marc m 12-12][person:marc m 15-15]
soni| I can t wait until then I decided to fly back home at night| [person:soni f 0-0][person:soni f 6-6][location:home s 11-11]
marc| I am trying to get back as soon as possible| [person:marc m 0-0]
marc| Have a safe journey Inform me after you reach there| [person:marc m 5-5][person:soni f 7-7][location:home s 9-9]
soni| Okay I will text you once I reach there| [person:soni f 1-1][person:marc m 4-4][person:soni f 6-6][location:home s 8-8]

conv:people_long_0313_123:aug_0:chat_0:chataug_0| jermaine mary| [person:jermaine m 0-0][person:mary f 1-1]
mary| Hi Jermaine what are you doing| [person:jermaine m 1-1][person:jermaine m 4-4]
jermaine| Hi Mary just now came from office| [person:mary f 1-1][location:office s 6-6]
mary| Do you remember our upcoming trip to U S Virgin Islands| [person:jermaine m 1-1][person:our g(mary:jermaine) 3-3][location:u_s_ s 7-8][location:virgin_islands s 9-10][location:islands g() 10-10]
jermaine| Yes dear I remember it It will be on coming Sunday| [person:jermaine m 2-2]
mary| Super We have to discuss our activities to be to do on that day| [person:our g(mary:jermaine) 1-1][person:our g(mary:jermaine) 5-5]
jermaine| Yes dear Do you have any idea| [person:mary f 3-3]
mary| I don t have any idea Shall we ask our friends Nicole and Rohan| [person:mary f 0-0][person:our g(mary:jermaine) 7-7][person:our g(mary:jermaine) 9-9][person:friends g() 10-10][person:nicole f 11-11][person:rohan m 13-13]
jermaine| How do they know about it| [person:friends g(nicole:rohan) 2-2]
mary| Both Nicole and Rohan already gone to the trip there| [person:nicole f 1-1][person:rohan m 3-3][location:virgin_islands s 9-9]
jermaine| But I have some ideas Shall we pick from that| [person:jermaine m 1-1][person:our g(mary:jermaine) 6-6]
mary| I am not interested in your ideas| [person:mary f 0-0][person:jermaine m 5-5]
jermaine| Then what is your idea| [person:mary f 3-3]
mary| Let us do some research about it| [person:our g(mary:jermaine) 1-1]
jermaine| hmmm It is okay We need to try different activities We will have different list of options| [person:our g(mary:jermaine) 4-4][person:our g(mary:jermaine) 10-10]
mary| That is good We will do something| [person:our g(mary:jermaine) 3-3]
jermaine| Okay Bye dear|
mary| Bye|

conv:people_long_0313_125:aug_0:chat_0:chataug_0| alana audrey| [person:alana f 0-0][person:audrey f 1-1]
alana| Happy New Year Audrey| [person:audrey f 3-3]
audrey| Happy New Year Alana| [person:alana f 3-3]
alana| What are some of your new year s resolutions this year| [person:audrey f 4-4]
audrey| My husband Cody and I are going to start a vegan diet| [person:audrey f 0-0][person:husband m 1-1][person:husband m 2-2][person:audrey f 4-4]
audrey| He watched a documentary on Netflix called Game Changers and wanted to start the diet immediately I wanted to support him as best as I can so I joined him| [person:husband m 0-0][person:audrey f 16-16][person:husband m 20-20][person:audrey f 24-24][person:audrey f 27-27][person:husband m 29-29]
audrey| What are your New Year s resolution plans| [person:alana f 2-2]
alana| That is so funny that you and Cody are starting a vegan diet My husband Connor is doing the same| [person:audrey f 5-5][person:husband m 7-7][person:alana f 13-13][person:husband m 14-14][person:husband m 15-15]
alana| We watched Game Changers on Netflix last night| [person:we g(alana:husband) 0-0]
alana| My new year s resolution is to just eat healthier| [person:alana f 0-0]
audrey| I am excited to go vegan| [person:audrey f 0-0]
audrey| Are you considering going vegan| [person:audrey f 1-1]
alana| Honestly I don t think I could do it I love cheese too much| [person:alana f 1-1][person:alana f 5-5][person:alana f 9-9]
audrey| Cheese is very good but consider the bigger picture|
audrey| Maybe you could implement a diet where you eat mostly vegan but include cheese| [person:alana f 1-1][person:alana f 7-7]
alana| That is a great idea I may consider| [person:alana f 5-5]
alana| This would be fun to do together The four of us should get together and cook a vegan dinner| [person:us g(alana:audrey:husband:husband) 10-10]
audrey| Cody and I would love that I will talk to him and work out some details We could host at our house| [person:husband m 0-0][person:audrey f 2-2][person:audrey f 6-6][person:husband m 10-10][person:we g(audrey:husband) 16-16][person:we g(audrey:husband) 20-20]
alana| Sounds great Talk to you soon| [person:audrey f 4-4]
audrey| Talk to you soon| [person:alana f 2-2]

conv:people_long_0313_126:aug_0:chat_0:chataug_0| jane john| [person:jane f 0-0][person:john m 1-1]
jane| Soooo what do you think| [person:john m 3-3]
john| un freaking believable|
john| Jane this is sooo much money| [person:jane f 0-0]
jane| I know it is insane| [person:jane f 0-0]
john| We will never have to work again| [person:we g(jane:john) 0-0]
john| Rita and Adam will be set for life| [person:rita f 0-0][person:adam m 2-2]
john| They can go to whatever college they want| [person:they g(rita:adam) 0-0][person:they g(rita:adam) 6-6]
jane| No more just getting by|
jane| No more worries|
jane| but John| [person:john m 1-1]
john| yes|
jane| How did they have so much money| [person:they g(rita:adam) 2-2]
jane| What if it is a mistake|
john| Jane its a will| [person:jane f 0-0]
john| I dont think it was any mistakes| [person:john m 0-0]
jane| So you dont think I should do some investigating Just to make sure this is real| [person:john m 1-1][person:jane f 4-4]
john| Jane| [person:jane f 0-0]
john| No its real|
jane| okay I ll just except it| [person:jane f 1-1]

conv:people_long_0313_127:aug_0:chat_0:chataug_0| phillip ricky| [person:phillip m 0-0][person:ricky m 1-1]
phillip| We haven t gone on a trip with the family for a long time I was thinking to plan for it What do you say| [person:we g(phillip:ricky) 0-0][person:family g() 9-9][person:phillip m 14-14][person:ricky m 23-23]
ricky| That s really a good idea Philip even I am also tired of this daily schedule| [person:phillip m 6-6][person:ricky m 8-8]
phillip| You are a good tour planner Please plan a trip for a week so that we can freshen up our minds| [person:ricky m 0-0][person:we g(phillip:ricky) 15-15][person:our g(phillip:ricky) 19-19]
ricky| Just a week But I want to spend more time with them so I was thinking to plan the trip for 10 days Do you have any issues| [person:ricky m 4-4][person:family g() 11-11][person:ricky m 13-13][person:phillip m 24-24]
phillip| Well even I also want to spend time with them but we have a limited budget and we have to manage within it So you also need to think about that| [person:phillip m 2-2][person:family g() 9-9][person:we g(phillip:ricky) 11-11][person:we g(phillip:ricky) 17-17][person:ricky m 24-24]
ricky| Yeah we need to first decide where to visit I have thought of visiting a hill station As it s summer we can have a great time there with the snow| [person:we g(phillip:ricky) 1-1][person:ricky m 9-9][location:station s 16-16][person:we g(phillip:ricky) 21-21][location:station s 27-27]
phillip| Cool just now I was going through the cost of the tickets it s very high I think we need to change our destination| [person:phillip m 3-3][person:phillip m 16-16][person:we g(phillip:ricky) 18-18][person:our g(phillip:ricky) 22-22]
ricky| Wait let me check what is the matter if there is another way to plan the trip| [person:ricky m 2-2]
ricky| A few days back my siblings Monique and Julia went there in a cheaper package Let me ask them about the package and also the tour plan they followed| [person:ricky m 4-4][person:monique f 6-6][person:julia f 8-8][person:ricky m 16-16][person:them g(monique:julia) 18-18][person:them g(monique:julia) 27-27]
phillip| Yeah sure if it is cheaper we can spend more time with our families| [person:we g(phillip:ricky) 6-6][person:our g(phillip:ricky) 12-12]
ricky| Let me find the dates for the trip so that we can manage more time within our budget After I confirm the dates will you be able to book all the tickets and hotels| [person:ricky m 1-1][person:we g(phillip:ricky) 10-10][person:our g(phillip:ricky) 16-16][person:ricky m 19-19][person:phillip m 24-24][location:hotels g() 33-33]
phillip| Of course why not I can book the tickets as well as the hotels of your choice But don t you think it would be better if we sit together and do it| [person:phillip m 4-4][location:hotels g() 13-13][person:ricky m 15-15][person:ricky m 20-20][person:we g(phillip:ricky) 27-27]
ricky| Great let s meet at night after the office and execute the plans I am really excited that we are traveling for a long time| [location:office s 8-8][person:ricky m 13-13][person:we g(phillip:ricky) 18-18]
phillip| I will let you know after my office| [person:phillip m 0-0][person:ricky m 3-3][person:phillip m 6-6][location:office s 7-7]

conv:people_long_0313_129:aug_0:chat_0:chataug_0| jess wallace| [person:jess f 0-0][person:wallace m 1-1]
jess| Wallace are you planning to go to the gym| [person:wallace m 0-0][person:wallace m 2-2][location:gym s 8-8]
wallace| Yes Jess I m planning to go to the gym to keep myself consistent| [person:jess f 1-1][person:wallace m 2-2][location:gym s 9-9][person:wallace m 12-12]
jess| Sounds good let s plan together by the end of this weekend do you think you need a personal trainer| [person:wallace m 13-13][person:wallace m 15-15]
wallace| We need to get a personal trainer for ourselves as I strongly believe that is going to help us in the long run| [person:we g(jess:wallace) 0-0][person:wallace m 10-10][person:us g(jess:wallace) 18-18]
jess| Ok then do you know any personal trainers who can help us to stay fit| [person:wallace m 3-3][person:us g(jess:wallace) 11-11]
wallace| Yes I ve a friend named Michael who works at the local gym I shall talk to him if you agree to be trained by him| [person:wallace m 1-1][person:michael m 4-4][person:michael m 6-6][location:gym s 12-12][person:wallace m 13-13][person:michael m 17-17][person:jess f 19-19][person:michael m 25-25]
jess| I don t mind getting a trainer but I think Michael is not a better person for me| [person:jess f 0-0][person:jess f 8-8][person:michael m 10-10][person:jess f 17-17]
wallace| Yes I support your thoughts Jess I also have seen Michael getting involved in intense workouts| [person:wallace m 1-1][person:jess f 3-3][person:jess f 5-5][person:wallace m 6-6][person:michael m 10-10]
jess| I have a friend who can help us out as a trainer but in a more relaxed manner| [person:jess f 0-0][person:rebecca f 3-3][person:us g(jess:wallace) 7-7]
wallace| Who is that Do I know that trainer Can he really help us with a comfortable workout format| [person:wallace m 4-4][person:rebecca f 9-9][person:us g(jess:wallace) 12-12]
jess| Yes you know him he is Rebecca I think we can have a moderate workout| [person:wallace m 1-1][person:rebecca f 3-3][person:rebecca f 4-4][person:rebecca f 6-6][person:jess f 7-7][person:we g(jess:wallace) 9-9]
