conv:people_2019090101_86:aug_0:chat_0:chataug_0| kevin noah| [person:kevin m 0-0][person:noah m 1-1]
kevin| Hey Noah what s up| [person:noah m 1-1]
noah| Hey man you ready to hit up BWW with Peter and Karan| [person:kevin m 2-2][person:peter m 9-9][person:karan m 11-11]
kevin| Oh definitely you know which one you want to hit up| [person:noah m 2-2][person:noah m 6-6]
noah| I was actually hoping that you d have some suggestions for me because I m not sure which one would be best| [person:noah m 0-0][person:kevin m 5-5][person:kevin m 11-11][person:noah m 13-13]
kevin| Hmm well there s a couple in town and honestly I d say that depends on what you re after Food or atmosphere| [location:town s 2-2][location:town s 7-7][person:kevin m 10-10][person:noah m 17-17]
noah| I think that really I d like to go for something with the best food comparatively I really like a good meal ya know| [person:noah m 0-0][person:noah m 4-4][person:noah m 16-16]
kevin| Then definitely the one in the center of town is the best option there I m sure that Peter and Karan would like it there too| [location:town s 8-8][person:kevin m 14-14][person:peter m 18-18][person:peter m 20-20][location:town s 24-24]
noah| That s good that s good And of course you re coming along too right| [person:kevin m 9-9]
kevin| You know it man wouldn t miss this for the world| [person:noah m 0-0]
noah| Sweet we ll meet you there then| [person:we g(peter:karan) 1-1][person:kevin m 4-4][location:town s 5-5]
kevin| That sounds great to me| [person:kevin m 4-4]

conv:people_2019090101_87:aug_0:chat_0:chataug_0| natalie nicholas| [person:natalie f 0-0][person:nicholas m 1-1]
natalie| Hey I m going to the movies with Rodger next week before he goes back to Seattle Want to join us| [person:natalie f 1-1][person:rodger m 8-8][person:rodger m 12-12][person:us g(natalie:rodger) 20-20]
nicholas| Wow yeah I haven t seen Rodger since he was here last year We could do dinner first and catch up| [person:nicholas m 2-2][person:rodger m 6-6][person:rodger m 8-8][person:us g(natalie:rodger) 13-13]
natalie| That would be great I know he wants to see you| [person:natalie f 4-4][person:rodger m 6-6][person:nicholas m 10-10]
