conv:people_chats_04182020_63:aug_0:chat_0:chataug_0| shane tim| [person:shane m 0-0][person:tim m 1-1]
shane| Hey Tim Water is going to be out today| [person:tim m 1-1]
tim| Yeah I know Because of the repairman right| [person:tim m 1-1]
tim| Did you tell our roommates Claire and Linda about it| [person:shane m 1-1][person:our g(shane:tim) 3-3][person:claire f 5-5][person:linda f 7-7]
shane| I think I mentioned it to Claire last night| [person:shane m 0-0][person:shane m 2-2][person:claire f 6-6]
shane| But can you remind them in the morning again| [person:tim m 2-2][person:them g(claire:linda) 4-4]
tim| Yeah I ll tell them about it| [person:tim m 1-1][person:them g(claire:linda) 4-4]
tim| Linda told me this morning that her friends are coming over for board games tonight| [person:linda f 0-0][person:tim m 2-2][person:linda f 6-6][person:friends g() 7-7]
shane| I remember but I am going to be out until after ten so it is not going to affect me| [person:shane m 0-0][person:shane m 3-3][person:shane m 19-19]
tim| Okay fine I ll meet you at night then| [person:tim m 2-2][person:shane m 5-5]
shane| Yeah see you soon Tim| [person:tim m 2-2][person:tim m 4-4]

conv:people_chats_04182020_64:aug_0:chat_0:chataug_0| george grace| [person:george m 0-0][person:grace f 1-1]
grace| Hey George Sorry I was unable to answer your calls as I was busy with my office work I hope you don t mind Listen there is one new brewery opened up in Bell road and it is going crazy Have you seen it| [person:george m 1-1][person:grace f 3-3][person:george m 8-8][person:grace f 11-11][person:grace f 15-15][person:grace f 18-18][person:george m 20-20][person:george m 41-41]
george| Not yet I would love to spend some time over there this weekend Is that OK for you| [person:george m 2-2][location:brewery s 10-10][person:grace f 17-17]
grace| Yes I m free and that is what I was about to ask you This place has been the talk of the city and people are giving very good reviews We must try this place at any cost for this weekend I m sure you ll have a good time| [person:grace f 1-1][person:grace f 8-8][person:george m 13-13][location:brewery s 15-15][person:we g(grace:george) 30-30][person:grace f 41-41][person:george m 44-44]
george| Lets rock this weekend baby I would like to take my girlfriend Dorothy along with me Hope you don t mind that| [person:george m 5-5][person:george m 10-10][person:girlfriend f 11-11][person:dorothy f 12-12][person:george m 15-15][person:grace f 17-17]
grace| I have no issues calling your girlfriend I m also planning to invite Austin I haven t seen in for a while and I feel this weekend would be the correct time to re group What say| [person:grace f 0-0][person:george m 5-5][person:girlfriend f 6-6][person:grace f 7-7][person:austin m 13-13][person:grace f 14-14][person:grace f 23-23]
george| I don t think it as a wise idea I am sure that Austin don t like Dorothy If you are planing to invite both I would suggest you to pick anyone among them| [person:george m 0-0][person:george m 9-9][person:austin m 13-13][person:dorothy f 17-17][person:grace f 19-19][person:george m 25-25][person:grace f 28-28][person:anyone g() 31-31]
grace| Why What s wrong with Austin I think they are really good friends Was there any clash happened between two| [person:austin m 5-5][person:grace f 6-6][person:they g(dorothy:austin) 8-8][person:friends g(dorothy:austin) 12-12]
george| There are lot more stories than you know Its better to stay away from those things Its your call You can choose among them or else we can avoid both| [person:grace f 6-6][person:grace f 17-17][person:grace f 19-19][person:they g(dorothy:austin) 23-23][person:we g(grace:george) 26-26]
grace| Relax brother l want you both to stay with me Don t worry I will meet Austin some other time Okay Give me sometime I m gonna call to the pub and reserve the table| [person:george m 1-1][person:george m 4-4][person:grace f 9-9][person:grace f 13-13][person:austin m 16-16][person:grace f 22-22][person:grace f 24-24]
george| That s so kind of you I will inform this to Dorothy She would be very much excited| [person:grace f 5-5][person:george m 6-6][person:dorothy f 11-11][person:dorothy f 12-12]

conv:people_chats_04182020_65:aug_0:chat_0:chataug_0| isabella kath| [person:isabella f 0-0][person:kath f 1-1]
kath| Hey so I had an idea that could help my brothers we can take them to the movies| [person:kath f 2-2][person:kath f 9-9][person:kath_n_isabelle g(kath:isabella) 11-11][person:kath_s_brothers g() 14-14]
isabella| That sounds like a nice thing to do but how about we take them to a basketball memorial game they are doing for Kobe its in a few days| [person:kath_n_isabelle g(kath:isabella) 11-11][person:kath_s_brothers g() 13-13][person:ppl g() 19-19][person:kobe m 23-23]
kath| Cole and Gilbert would love that are the tickets expensive| [person:kath_s_brothers g() 0-0][person:kath_s_brothers g() 2-2]
isabella| A little 75 per ticket but I ll help with the costs if they want to go| [person:isabella f 6-6][person:kath_s_brothers g() 13-13]
kath| You are so kind that would be awesome let me see if they want to go i m sure they will say yes though| [person:isabella f 0-0][person:kath f 9-9][person:kath_s_brothers g() 12-12][person:kath f 16-16][person:kath_s_brothers g() 19-19]
isabella| Okay we can also grab dinner or something with them before or after and spend some time with them| [person:kath_n_isabelle g(kath:isabella) 1-1][person:kath_s_brothers g() 9-9][person:kath_s_brothers g() 18-18]
kath| They would love to go and dinner sounds great what time is the memorial game| [person:kath_s_brothers g() 0-0]
isabella| Its at 630 pm on Saturday the 7th and it ends around 9 so should have plenty of time for dinner|
kath| Thats perfect where would you like to get dinner I was thinking maybe mexican or a steakhouse| [person:isabella f 4-4][person:kath f 9-9]
isabella| Your brothers do like steakhouses we should do that they would really like it| [person:kath f 0-0][person:kath_n_isabelle g(kath:isabella) 5-5][person:kath_s_brothers g() 9-9]
kath| Yeah thats what i was thinking Okay well ill see you later when you get here| [person:kath f 3-3][person:isabella f 10-10][person:isabella f 13-13][location:here u 15-15]
isabella| Okay ill be heading over in a few hours going to go to the store and grab some snacks|
kath| Can you grab some drinks as well we are going to look for some movies to play so we have some selections| [person:isabella f 1-1][person:kath_n_her_brother g(kath) 7-7][person:kath_n_her_brother g(kath) 18-18]
isabella| Sure I will grab some drinks ill pick something tasty for us to enjoy| [person:isabella f 1-1][person:isabelle__kath_and_kath_s_brothers g() 11-11]

conv:people_chats_04182020_66:aug_0:chat_0:chataug_0| alice caroline| [person:alice f 0-0][person:caroline f 1-1]
caroline| Hey Alice I want to talk to you about Alex| [person:alice f 1-1][person:caroline f 2-2][person:alice f 7-7][person:alex m 9-9]
alice| What about him What do you want to talk about| [person:alex m 2-2][person:alice f 5-5]
caroline| You know that I have a crush on Alex right then why did you write a letter to him| [person:alice f 0-0][person:caroline f 3-3][person:alex m 8-8][person:alice f 13-13][person:alex m 18-18]
alice| How do you know about the letter Did Alex tell you| [person:caroline f 2-2][person:alex m 8-8][person:caroline f 10-10]
caroline| Kenneth told me about this How could you break our girl code Alice| [person:kenneth m 0-0][person:caroline f 2-2][person:alice f 7-7][person:our g(caroline:alice) 9-9][person:alice f 12-12]
alice| How does Kenneth know that I wrote a letter to Alex| [person:kenneth m 2-2][person:alice f 5-5][person:alex m 10-10]
caroline| I don t know maybe Alex himself told Kenneth about the letter| [person:caroline f 0-0][person:alex m 5-5][person:alex m 6-6][person:kenneth m 8-8]
alice| What do you want to do about it now| [person:caroline f 2-2]
caroline| I don t want to talk to you anymore Alice I m done| [person:caroline f 0-0][person:alice f 7-7][person:alice f 9-9][person:caroline f 10-10]
alice| What You can t do that we are supposed to be best friends| [person:caroline f 1-1][person:we g(caroline:alice) 6-6][person:friends g(caroline:alice) 12-12]

conv:people_chats_04182020_67:aug_0:chat_0:chataug_0| luara pamela| [person:luara f 0-0][person:pamela f 1-1]
pamela| Luara did mom text you regarding when she ll come back home| [person:luara f 0-0][person:mom f 2-2][person:luara f 4-4][person:mom f 7-7][location:home s 11-11]
luara| Yes Pamela She told me she will be late because of extra work at office| [person:pamela f 1-1][person:mom f 2-2][person:luara f 4-4][person:mom f 5-5][location:office s 14-14]
pamela| Does that mean we ll have to cook dinner ourselves| [person:we g(pamela:luara) 3-3]
luara| Yes that is what mom said to me| [person:mom f 4-4][person:luara f 7-7]
pamela| Let s think of something easy to make Something that won t burn the kitchen| [location:kitchen s 14-14]
luara| You re right Pamela But since aunt Donna will also eat with us we need to make tasty dinner| [person:pamela f 0-0][person:pamela f 3-3][person:donna f 6-6][person:donna f 7-7][person:us g(pamela:luara) 12-12][person:we g(pamela:luara) 13-13]
pamela| How about we cook pasta| [person:we g(pamela:luara) 2-2]
luara| We don t have pasta at home Let s make rice and curry instead| [person:we g(pamela:luara) 0-0][location:home s 6-6]
pamela| Okay It s easy to cook and aunt Donna will love it too| [person:donna f 7-7][person:donna f 8-8]
luara| Alright Pamela Let s go cook| [person:pamela f 1-1]

conv:people_chats_04182020_68:aug_0:chat_0:chataug_0| kathleen philip| [person:kathleen f 0-0][person:philip m 1-1]
philip| Hey Kathleen Where are you| [person:kathleen f 1-1][person:kathleen f 4-4]
kathleen| I am at home Phillip| [person:kathleen f 0-0][location:home s 3-3][person:philip m 4-4]
philip| At what time should I pick up the kids Claude and Maddie| [person:philip m 4-4][person:kids g() 8-8][person:claude m 9-9][person:maddie f 11-11]
kathleen| They will be done with church by noon so you can go after 12| [person:kids g(claude:maddie) 0-0][location:church s 5-5][person:philip m 9-9]
philip| I have a meeting at 12 Kathleen| [person:philip m 0-0][person:kathleen f 6-6]
kathleen| But someone has to go because the kids will be eagerly waiting to go for lunch| [person:kids g(claude:maddie) 7-7]
philip| But I can t come because it is important meeting and I can t compromise with it| [person:philip m 1-1][person:philip m 11-11]
kathleen| Is it okay if I go and pick them up by 2 pm| [person:kathleen f 4-4][person:kids g(claude:maddie) 8-8]
philip| Yeah it will be really helpful I will join for lunch| [person:philip m 6-6]
kathleen| Okay we will be waiting for you| [person:we g(kathleen:claude:maddie) 1-1][person:philip m 6-6]

conv:people_chats_04182020_69:aug_0:chat_0:chataug_0| eric stephanie| [person:eric m 0-0][person:stephanie f 1-1]
stephanie| Hi Eric I just received a call from aunt Charlotte| [person:eric m 1-1][person:stephanie f 2-2][person:charlotte f 8-8]
eric| Is that so What did she say| [person:charlotte f 5-5]
stephanie| Since your birthday is coming up she was asking what gift you would like| [person:eric m 1-1][person:charlotte f 6-6][person:eric m 11-11]
eric| That is sweet of her What do you think we should ask her to get| [person:charlotte f 4-4][person:stephanie f 7-7][person:eric___stephanie g(stephanie:eric) 9-9][person:charlotte f 12-12]
eric| Since she lives in France she could get unique things from the stores she knows| [person:charlotte f 1-1][location:france s 4-4][person:charlotte f 5-5][person:charlotte f 13-13]
stephanie| Yes she always gets dad souvenirs when she visits| [person:charlotte f 1-1][person:dad m 4-4][person:charlotte f 7-7]
stephanie| Remember the antique watch she bought last time| [person:charlotte f 4-4]
eric| Of course Dad loved it| [person:dad m 2-2]
stephanie| Yeah I could ask her to get you a bottle of customized perfume and vintage clothes| [person:stephanie f 1-1][person:charlotte f 4-4][person:eric m 7-7]
eric| Yes Stephanie That sounds great| [person:stephanie f 1-1]

conv:people_chats_04182020_70:aug_0:chat_0:chataug_0| stacy willie| [person:stacy f 0-0][person:willie m 1-1]
stacy| Did you read what happened to Charlotte last week| [person:willie m 1-1]
willie| Yeah actually I am bit worried about sending our daughter far to the stateside for schooling| [person:willie m 2-2][person:our g(stacy) 8-8][person:daughter f 9-9]
stacy| Me too darling Poor Charlotte I cannot afford to lose our Susan Not at any cost| [person:stacy f 0-0][person:stacy f 5-5][person:our g(stacy:willie) 10-10][person:daughter f 11-11]
stacy| I am thinking why won t we consider homeschooling for her I talked to the Winstons last week and guess what they said| [person:stacy f 0-0][person:we g(stacy:willie) 6-6][person:daughter f 10-10][person:stacy f 11-11][person:winstons g() 15-15][person:winstons g() 21-21]
willie| I too agree for homeschooling honey Brittany is friends with Susan Maybe we can look for this option| [person:willie m 0-0][person:brittany f 6-6][person:friends g(daughter:brittany) 8-8][person:daughter f 10-10][person:we g(stacy:willie) 12-12]
stacy| Exactly There is a magic kingdom of horrors down here Only last night I learnt about shooting at near by school Lots of casualties| [location:magic_kingdom s 4-5][location:here s 9-9][person:stacy f 13-13][location:school s 20-20]
willie| Good lord honey and you are telling me this now I am going to Winstons now They better be at home| [person:stacy f 4-4][person:willie m 7-7][person:willie m 10-10][person:winstons g() 14-14][person:winstons g() 16-16][location:home s 20-20]
stacy| I will inform Miss Winston about that you are coming I am sure she will be there Take Susan along Take care| [person:stacy f 0-0][person:miss_winston f 4-4][person:willie m 7-7][person:stacy f 10-10][person:miss_winston f 13-13][location:home s 16-16][person:daughter f 18-18]
willie| Yeah that s a good idea Better she is ready| [person:daughter f 7-7]
willie| Take care Stacy We will be back soon| [person:stacy f 2-2][person:we g(willie:daughter) 3-3]

conv:people_chats_04182020_71:aug_0:chat_0:chataug_0| damien shane| [person:damien m 0-0][person:shane m 1-1]
shane| Hello Damien how are you doing what are you planning for this weekend| [person:damien m 1-1][person:damien m 4-4][person:damien m 8-8]
damien| Hi Shane I m doing good and no plans bro Just casual| [person:shane m 1-1][person:damien m 2-2]
shane| Bro shall we plan this weekend at the beach and will throw a football around| [person:we g(shane:damien) 2-2]
damien| Sure bro we shall invite our friends Aubrey Jacky| [person:we g(shane:damien) 2-2][person:we g(shane:damien) 5-5][person:friends g() 6-6][person:aubrey f 7-7][person:jacky f 8-8]
shane| Yeah bro but I think they want to play volleyball instead| [person:shane m 3-3][person:friends g(aubrey:jacky) 5-5]
damien| Then what shall we do bro do you have any idea| [person:we g(shane:damien) 3-3][person:shane m 7-7]
shane| Okay bro I shall bring a soccer ball so that Aubrey Jacky they can even enjoy| [person:shane m 2-2][person:aubrey f 10-10][person:jacky f 11-11][person:friends g(aubrey:jacky) 12-12]
damien| Alright bro that s a good idea because Jacky is a varsity soccer player| [person:jacky f 8-8]
shane| But bro there is no soccer ball what shall we do| [person:we g(shane:damien) 9-9]
damien| Firstly let s go and then proceed accordingly|

conv:people_chats_04182020_72:aug_0:chat_0:chataug_0| jim margaret| [person:jim m 0-0][person:margaret f 1-1]
jim| HI|
margaret| HI|
jim| SHALL I GO TO OUT FOR A ICE CREAM| [person:jim m 1-1]
jim| WHAT ABOUT YOU| [person:margaret f 2-2]
margaret| WOW OK|
margaret| I TO LIKE ATE ICE CREAM| [person:margaret f 0-0]
jim| I WANT TO GO FUN ICE CREAM PLACE| [person:jim m 0-0][location:place s 7-7]
margaret| WHERE|
margaret| YOU WANT TO GO| [person:jim m 0-0]
jim| I WANT MENCHIES OR BASKIN ROBBINS| [person:jim m 0-0][location:menchies s 2-2][location:baskin_robbins s 4-5]
jim| DO YOU LIKE| [person:margaret f 1-1]
margaret| OK|
margaret| I ALSO WANT TO ATE THAT| [person:margaret f 0-0]
margaret| BUT|
jim| WAT BUT|
margaret| MY MOOD FOR GELATO| [person:margaret f 0-0]
margaret| SO I WISH TO ITALIAN GELATO PARLOUR| [person:margaret f 1-1][location:parlour s 6-6]
jim| NICE|
jim| TASTE|
jim| HOW DO YOU KNOW ABOUT THAT| [person:margaret f 2-2]
margaret| MY FRIEND Gary and Sue enjoy gelato| [person:margaret f 0-0][person:gary m 1-1][person:gary m 2-2][person:sue f 4-4]
jim| OK SHALL WE GO| [person:we g(jim:margaret) 2-2]
margaret| OK|
margaret| THANKS|
margaret| ACCEPT MY WISH| [person:margaret f 1-1]
jim| ITS OK|
jim| MM|
margaret| MM|
margaret| I WANT to create a list of potential places and weigh the pros and cons| [person:margaret f 0-0][location:places g() 8-8]
jim| I THINK ALSO| [person:jim m 0-0]
jim| THAT|
margaret| OHH|
margaret| ITS NICE|
jim| SHALL WE GO AND GET READY FOR THAT| [person:we g(jim:margaret) 1-1]
margaret| YES|
margaret| I GOT GET READY AND COME| [person:margaret f 0-0]
jim| OK|

conv:people_chats_04182020_75:aug_0:chat_0:chataug_0| oliver rick| [person:oliver m 0-0][person:rick m 1-1]
oliver| Hey Rick did you decide anything about the apartment which we are renting| [person:rick m 1-1][person:rick m 3-3][location:apartment s 8-8][person:rick_and_oliver g(oliver:rick) 10-10]
rick| Not yet Oliver But don t you think the rent is too high| [person:oliver m 2-2][person:oliver m 6-6]
oliver| Maybe that s because it has three bedrooms| [location:apartment s 4-4][location:bedrooms s 7-7]
rick| Yeah you re right The rent is high but I don t want to give up the apartment because it is close to our college| [person:oliver m 1-1][person:rick m 9-9][location:apartment s 17-17][location:apartment s 19-19][person:rick_and_oliver g(oliver:rick) 23-23][location:college s 24-24]
oliver| Yes how about getting more roommates who can help us by paying a portion of the rent| [person:rick_and_oliver g(oliver:rick) 9-9]
rick| That s a good idea Let s upload an advertisement for the apartment| [location:apartment s 12-12]
oliver| Okay text me once you get a response| [person:oliver m 2-2][person:rick m 4-4]
rick| I read the emails and a couple named King and Kimberly appear to be suitable They like tidiness and seem to be trustworthy too| [person:rick m 0-0][person:king m 8-8][person:kimberly f 10-10][person:king_and_kimberly g(king:kimberly) 15-15]
oliver| Alright I think they will be good roommates then| [person:oliver m 1-1][person:king_and_kimberly g(king:kimberly) 3-3]
rick| Me too Let s meet them and make a final decision| [person:rick m 0-0][person:king_and_kimberly g(king:kimberly) 5-5]

conv:people_chats_04182020_76:aug_0:chat_0:chataug_0| david pete| [person:david m 0-0][person:pete m 1-1]
david| Hey Pete spring break is approaching Have you planned anything yet| [person:pete m 1-1][person:pete m 7-7]
pete| I haven t planned anything David But how about going out for camping| [person:pete m 0-0][person:david m 5-5]
david| That would be a good idea Why don t we invite some of our friends to accompany us| [person:we g(david:pete) 9-9][person:we g(david:pete) 13-13][person:friends g() 14-14][person:we g(david:pete) 17-17]
pete| How about inviting Myra to join us We ve been dating for a while now| [person:myra f 3-3][person:we g(david:pete) 6-6][person:we g(pete:myra) 7-7]
david| Yes you can ask her to join us In that way you can both get to know each other well| [person:pete m 1-1][person:myra f 4-4][person:we g(david:pete) 7-7][person:we g(pete:myra) 11-11]
pete| I ll also ask her friend Karen to join us so that Myra doesn t feel alone| [person:pete m 0-0][person:myra f 4-4][person:friend u 5-5][person:karen f 6-6][person:us g(david:pete:myra) 9-9][person:myra f 12-12]
david| Can you please ask any of her other friends to join us except Karen| [person:pete m 1-1][person:myra f 6-6][person:friends g() 8-8][person:us g(david:pete:myra) 11-11][person:karen f 13-13]
pete| Why don t you want Karen to join us Do you have any problems with her| [person:david m 3-3][person:karen f 5-5][person:us g(david:pete:myra) 8-8][person:david m 10-10][person:karen f 15-15]
david| We used to date sometime back and I don t want to complicate things between us| [person:we g(david:karen) 0-0][person:david m 7-7][person:we g(david:karen) 15-15]
pete| Alright then We can ask anybody else to join us| [person:us g(david:pete:myra) 2-2][person:anybody g() 5-5][person:us g(david:pete:myra) 9-9]
david| I might ask my younger brother to join us instead| [person:david m 0-0][person:david m 3-3][person:brother m 5-5][person:us g(david:pete:myra) 8-8]

