conv:chats_1127_159:aug_0:chat_0:chataug_0| aiden rusell| [person:aiden m 0-0][person:rusell m 1-1]
aiden| Can you help me to shop for office| [person:rusell m 1-1][person:aiden m 3-3][location:office s 7-7]
rusell| You and Monica went to get fruits for office right You can ask Monica she might help you| [person:aiden m 0-0][person:monica f 2-2][location:office s 8-8][person:aiden m 10-10][person:monica f 13-13][person:monica f 14-14][person:aiden m 17-17]
aiden| Well she said she is good in estimating not in selecting the items so help me dear| [person:monica f 1-1][person:monica f 3-3][person:aiden m 15-15]
rusell| Yeah and I will definitely convey this message to her| [person:rusell m 2-2][person:monica f 9-9]
aiden| Thanks You have very good knowledge about this but how We find you submerged in work when you get time to gather this knowledge| [person:rusell m 1-1][person:we g(aiden:monica) 10-10][person:rusell m 12-12][person:rusell m 17-17]
rusell| All this credit goes to my wife Debra She is expert in shopping| [person:rusell m 5-5][person:debra f 6-6][person:debra f 7-7][person:debra f 8-8]
aiden| I must say you too have interest or else how can you come to know all this| [person:aiden m 0-0][person:rusell m 3-3][person:rusell m 11-11]
rusell| It s not like that Every weekend she forces me to give her company in shopping| [person:debra f 7-7][person:rusell m 9-9][person:debra f 12-12]
aiden| Then I should thank Debra for this| [person:aiden m 1-1][person:debra f 4-4]
rusell| Yeah and I will definitely convey this message to her| [person:rusell m 2-2][person:debra f 9-9]

conv:chats_1127_163:aug_0:chat_0:chataug_0| emily jake| [person:emily f 0-0][person:jake m 1-1]
emily| Hello dear how is the day going on|
jake| Hey Jake every thing is cool What about yours| [person:jake m 1-1][person:emily f 8-8]
emily| Yeah I am even doing great Jake we need to talk Are you free now| [person:emily f 1-1][person:jake m 6-6][person:we g(emily:jake) 7-7][person:jake m 12-12]
jake| Yeah dear tell me what is the matter about| [person:jake m 3-3]
emily| Jake you know we both maintain our yard very clean| [person:jake m 0-0][person:jake m 1-1][person:we g(emily:jake) 3-3][person:we g(emily:jake) 6-6]
jake| Yeah we does that and we maintain it well so what is the issue about| [person:we g(emily:jake) 1-1][person:we g(emily:jake) 5-5]
emily| Steven stays in between our homes and he doesn t even take care of his yard| [person:steven m 0-0][person:we g(emily:jake) 4-4][location:homes g() 5-5][person:jake m 7-7][person:jake m 14-14][location:yard s 15-15]
jake| Yes you are correct He neglects his yard and has insects and wild plants growing in his garden Which will infect our health| [person:emily f 1-1][person:steven m 4-4][person:steven m 6-6][person:steven m 16-16][person:we g(emily:jake) 21-21]
emily| Exactly Jake we should talk to him about this issue and make every thing clear| [person:jake m 1-1][person:we g(emily:jake) 2-2][person:steven m 6-6]
jake| OKay lets do it after we reach home and we will solve this issue see you soon at home| [person:we g(emily:jake) 5-5][location:home s 7-7][person:we g(emily:jake) 9-9][person:emily f 15-15][location:homes g() 18-18]

conv:chats_1127_165:aug_0:chat_0:chataug_0| cheryl pablo| [person:cheryl f 0-0][person:pablo m 1-1]
cheryl| Hello Pablo are you done with your work| [person:pablo m 1-1][person:pablo m 3-3][person:pablo m 6-6]
pablo| Yes Cheryl I m free now I have been busy all this while so could not answer your calls Is everything alright| [person:cheryl f 1-1][person:pablo m 2-2][person:pablo m 6-6][person:cheryl f 17-17]
cheryl| Kathleen is becoming smart everyday and she comes up with new excuses all the time| [person:kathleen f 0-0][person:kathleen f 6-6]
pablo| What happened with Kathleen I believe she is in school Doesn t she| [person:kathleen f 3-3][person:pablo m 4-4][person:kathleen f 6-6][location:school s 9-9][person:kathleen f 12-12]
cheryl| She is just done with her school I have come to pick her up There is a doctor appointment that she supposed to attend but she is escaping it every time| [person:kathleen f 0-0][person:kathleen f 5-5][location:school s 6-6][person:cheryl f 7-7][person:kathleen f 12-12][person:doctor u 17-17][person:kathleen f 20-20][person:kathleen f 25-25]
pablo| She is very young and it is common that every child tends to scared of doctors Please let her free now she can go some other time| [person:kathleen f 0-0][person:kathleen f 18-18][person:kathleen f 21-21]
cheryl| No Pablo this is high time Last time doctor has given serious warning and now I cannot let her free Please tell me how to convince her| [person:pablo m 1-1][person:doctor u 8-8][person:cheryl f 15-15][person:kathleen f 18-18][person:cheryl f 22-22][person:kathleen f 26-26]
pablo| She will go mad when somebody yells at her or give serious looks So avoid doing it and deal with calmness Also tell that I will gift her favorite doll if she accepts it| [person:kathleen f 0-0][person:kathleen f 8-8][person:pablo m 24-24][person:kathleen f 27-27][person:kathleen f 31-31]
cheryl| Yes you re right and it has worked Thank you for helping me see you soon| [person:pablo m 1-1][person:pablo m 9-9][person:cheryl f 12-12][person:pablo m 14-14]
pablo| I know my daughter more than anyone See you soon| [person:pablo m 0-0][person:pablo m 2-2][person:kathleen f 3-3][person:anyone u 6-6][person:cheryl f 8-8]

conv:chats_1127_166:aug_0:chat_0:chataug_0| jacob sandy| [person:jacob m 0-0][person:sandy f 1-1]
jacob| Hey Sandy Did you get any text message from dad| [person:sandy f 1-1][person:sandy f 3-3][person:dad m 9-9]
sandy| Yes Jacob my bad has started with the bad message I don t wanna go to Grand parents place| [person:jacob m 1-1][person:sandy f 2-2][person:sandy f 10-10][person:grand_parents g() 17-17][location:place s 18-18]
jacob| But how do we convince dad I still can t forget the trouble we faced in our last visit| [person:we g(jacob:sandy) 3-3][person:dad m 5-5][person:jacob m 6-6][person:we g(jacob:sandy) 13-13][person:we g(jacob:sandy) 16-16]
sandy| They stink so badly and there won t be any air conditioners on top of that| [person:grand_parents g() 0-0][location:place s 5-5]
jacob| Have you noticed Eddie last time The way he brings cow dung with his hands that is so disgusting| [person:sandy f 1-1][person:eddie m 3-3][person:eddie m 8-8][person:eddie m 13-13]
sandy| Yes and Grand Ma puts oil to her and that smells even worse I can t stay there for one day also| [person:grand_ma f 7-7][person:sandy f 13-13][location:place s 17-17]
jacob| I was hospitalized due to that environment and I was on the bed for almost 10 days So I can t take any risk now for| [person:jacob m 0-0][person:jacob m 8-8][person:jacob m 18-18]
sandy| But one thing I have to appreciate is that the sweets prepared by our grandma They are so delicious| [person:sandy f 3-3][person:we g(jacob:sandy) 13-13][person:sweets u 15-15]
jacob| Yes she cooks really good I love her sweets as well| [person:grand_ma f 1-1][person:jacob m 5-5][person:grand_ma f 7-7]
sandy| But what do we say to dad now I will try my maximum to convince him Please you too have a word with him| [person:we g(jacob:sandy) 3-3][person:dad m 6-6][person:sandy f 8-8][person:sandy f 11-11][person:dad m 15-15][person:jacob m 17-17][person:dad m 23-23]

conv:chats_1127_167:aug_0:chat_0:chataug_0| carolyn cole| [person:carolyn f 0-0][person:cole m 1-1]
carolyn| Hey Cole I am thinking to plan a vacation What do you say| [person:cole m 1-1][person:carolyn f 2-2][location:vacation s 8-8][person:cole m 11-11]
cole| Hurrey thats actually cool dear Where are you planning to go| [person:carolyn f 7-7]
