conv:long_chats_0223_199:aug_0:chat_0:chataug_0| lilly sheila| [person:lilly f 0-0][person:sheila f 1-1]
lilly| Hey Sheila How are you doing| [person:sheila f 1-1][person:sheila f 4-4]
sheila| I am fine what about you| [person:sheila f 0-0][person:lilly f 5-5]
lilly| I am fine I am planning to visit our town next month| [person:lilly f 0-0][person:lilly f 3-3][person:our g(lilly:sheila) 8-8][location:town s 9-9]
lilly| Would you like to join me| [person:sheila f 1-1][person:lilly f 5-5]
sheila| I am so sorry I won t be able to join you| [person:sheila f 0-0][person:sheila f 4-4][person:lilly f 11-11]
sheila| Toby and I have already made travel plans| [person:toby m 0-0][person:sheila f 2-2]
lilly| I think you both should also plan to visit me and my husband Brandon| [person:lilly f 0-0][person:sheila f 2-2][person:lilly f 9-9][person:lilly f 11-11][person:brandon m 12-12][person:brandon m 13-13]
sheila| Well I need to talk to Toby if he is interested to visit your place| [person:sheila f 1-1][person:toby m 6-6][person:toby m 8-8][person:lilly f 13-13][location:place s 14-14]
lilly| Brandon likes to play golf If you come then he will take Toby to one of his favorite golf courses| [person:brandon m 0-0][person:sheila f 6-6][person:brandon m 9-9][person:toby m 12-12][person:brandon m 16-16]
sheila| I don t know whether Toby enjoys playing golf| [person:sheila f 0-0][person:toby m 5-5]
lilly| Okay then we can have dinner together at our house| [person:we g(lilly:sheila:toby:brandon) 2-2][person:our g(lilly:brandon) 8-8][location:house s 9-9]
sheila| Even that also sounds interesting Anyways I can understand that we all can have a great time together| [person:sheila f 6-6][person:we g(lilly:sheila:toby:brandon) 10-10]
sheila| I will let you know once after I discuss it with Toby| [person:sheila f 0-0][person:lilly f 3-3][person:sheila f 7-7][person:toby m 11-11]
lilly| Okay I am expecting a positive response from you| [person:lilly f 1-1][person:sheila f 8-8]

conv:long_chats_0223_201:aug_0:chat_0:chataug_0| lisa serge| [person:lisa f 0-0][person:serge m 1-1]
serge| I want to find the holy grail because I want to acquire the vast wealth prestige and mystical powers associated with the cup| [person:serge m 0-0][person:serge m 8-8]
lisa| Serge there is actually no holy grail it s all about people s beliefs| [person:serge m 0-0]
serge| Samantha and Artem had went searching for the holy grail and they found it| [person:samantha f 0-0][person:artem m 2-2][person:they g(samantha:artem) 11-11]
lisa| You are right although they went in search of it but they only found a medieval forgery| [person:serge m 0-0][person:they g(samantha:artem) 4-4][person:they g(samantha:artem) 11-11]
serge| I am perfectly okay with that also| [person:serge m 0-0]
lisa| They did not even acquire the mystical powers held in it and resulting in splitting up their friendship| [person:they g(samantha:artem) 0-0][person:they g(samantha:artem) 16-16]
serge| Although I don t acquire mystical powers but I am okay with making the substantial money I could get from selling it| [person:serge m 1-1][person:serge m 8-8][person:serge m 16-16]
lisa| They fought over profit of the relic which end up breaking their friendship| [person:they g(samantha:artem) 0-0][person:they g(samantha:artem) 11-11]
serge| I don t have a partner to share the profits of relic I can enjoy the profits alone| [person:serge m 0-0][person:serge m 12-12]
lisa| Do you really don t want partner I thinking of sharing with you| [person:serge m 1-1][person:lisa f 7-7][person:serge m 12-12]
serge| I don t want to go all the way to the holy land only to have it stolen or shared| [person:serge m 0-0][location:holy_land s 11-12]
lisa| Serge are you thinking that I might steal your the cup| [person:serge m 0-0][person:serge m 2-2][person:lisa f 5-5][person:serge m 8-8]
serge| Now I am really confused whether to proceed or not| [person:serge m 1-1]
lisa| Don t get confused we won t fight for that in future like them| [person:we g(serge:lisa) 4-4][person:they g(samantha:artem) 13-13]

conv:people_0610_1:aug_0:chat_0:chataug_0| jerry robert| [person:jerry m 0-0][person:robert m 1-1]
robert| Hey Jerry| [person:jerry m 1-1]
jerry| What s up Robert| [person:robert m 3-3]
robert| Have you seen my calculator| [person:jerry m 1-1][person:robert m 3-3]
